#Time,Field (G)
00:00:00.000,-0.4
00:00:00.255,-0.4
00:00:00.496,-0.5
00:00:00.751,-0.4
00:00:01.007,-0.4
00:00:01.248,-0.2
00:00:01.503,-0.2
00:00:01.743,0.0
00:00:01.999,0.0
00:00:02.254,-0.2
00:00:02.494,-0.4
00:00:02.750,-0.4
00:00:03.006,-0.3
00:00:03.246,-0.3
00:00:03.502,-0.1
00:00:03.758,-0.1
00:00:03.997,-0.1
00:00:04.253,-0.1
00:00:04.494,-0.1
00:00:04.749,0.9
00:00:05.005,0.9
00:00:05.245,1.2
00:00:05.500,1.2
00:00:05.756,1.1
00:00:05.996,1.3
00:00:06.252,1.3
00:00:06.508,1.0
00:00:06.748,1.0
00:00:07.003,1.2
00:00:07.243,1.2
00:00:07.500,1.2
00:00:07.756,1.0
00:00:07.995,1.0
00:00:08.251,1.2
00:00:08.507,1.2
00:00:08.746,1.1
00:00:09.003,1.1
00:00:09.259,1.1
00:00:09.498,1.0
00:00:09.755,1.0
00:00:09.994,1.0
00:00:10.250,1.0
00:00:10.506,1.2
00:00:10.746,1.2
00:00:11.001,1.2
00:00:11.257,1.0
00:00:11.497,1.0
00:00:11.753,1.4
00:00:11.993,1.4
00:00:12.248,1.1
00:00:12.504,1.3
00:00:12.744,1.3
00:00:13.000,1.2
00:00:13.256,1.2
00:00:13.496,1.2
00:00:13.752,1.2
00:00:14.007,1.2
00:00:14.248,1.3
00:00:14.504,1.3
00:00:14.743,1.2
00:00:14.999,1.2
00:00:15.255,1.4
00:00:15.495,1.3
00:00:15.751,1.3
00:00:16.007,1.4
00:00:16.246,1.4
00:00:16.502,1.3
00:00:16.758,1.3
00:00:16.997,1.1
00:00:17.254,1.3
00:00:17.493,1.3
00:00:17.750,1.1
00:00:18.005,1.1
00:00:18.245,1.4
00:00:18.501,1.2
00:00:18.757,1.2
00:00:18.996,1.4
00:00:19.253,1.4
00:00:19.508,1.2
00:00:19.748,1.2
00:00:20.004,1.4
00:00:20.243,1.1
00:00:20.499,1.1
00:00:20.755,1.3
00:00:20.996,1.3
00:00:21.252,1.3
00:00:21.508,1.3
00:00:21.747,1.5
00:00:22.003,1.2
00:00:22.242,1.2
00:00:22.499,1.5
00:00:22.754,1.5
00:00:22.995,1.3
00:00:23.250,1.3
00:00:23.506,1.3
00:00:23.746,1.4
00:00:24.002,1.4
00:00:24.257,1.3
00:00:24.497,1.3
00:00:24.753,1.4
00:00:24.994,1.3
00:00:25.249,1.3
00:00:25.505,1.4
00:00:25.745,1.4
00:00:26.000,1.3
00:00:26.257,1.3
00:00:26.496,1.1
00:00:26.752,1.5
00:00:27.008,1.5
00:00:27.248,1.1
00:00:27.504,1.1
00:00:27.744,1.5
00:00:28.000,1.5
00:00:28.255,1.5
00:00:28.495,1.4
00:00:28.751,1.4
00:00:29.007,1.3
00:00:29.247,1.3
00:00:29.503,1.2
00:00:29.758,1.5
00:00:29.998,1.5
00:00:30.254,1.3
00:00:30.494,1.3
00:00:30.750,1.4
00:00:31.005,1.4
00:00:31.257,1.4
00:00:31.502,1.2
00:00:31.758,1.2
00:00:31.998,1.3
00:00:32.253,1.3
00:00:32.493,1.3
00:00:32.749,1.3
00:00:33.004,1.4
00:00:33.244,1.1
00:00:33.500,1.1
00:00:33.756,1.3
00:00:33.996,1.3
00:00:34.252,1.2
00:00:34.508,1.2
00:00:34.748,1.1
00:00:35.003,1.1
00:00:35.243,1.1
00:00:35.499,1.0
00:00:35.756,1.0
00:00:35.995,1.0
00:00:36.251,1.2
00:00:36.507,1.2
00:00:36.747,1.1
00:00:37.003,1.1
00:00:37.259,1.4
00:00:37.498,1.4
00:00:37.754,1.3
00:00:37.994,1.4
00:00:38.250,1.4
00:00:38.506,1.4
00:00:38.745,1.4
00:00:39.002,1.3
00:00:39.257,1.3
00:00:39.497,1.3
00:00:39.753,1.7
00:00:40.009,1.7
00:00:40.248,1.7
00:00:40.505,1.7
00:00:40.745,1.8
00:00:41.001,1.9
00:00:41.256,1.9
00:00:41.496,1.8
00:00:41.752,1.8
00:00:42.007,1.7
00:00:42.248,1.7
00:00:42.504,2.2
00:00:42.743,2.2
00:00:42.999,2.2
00:00:43.256,2.4
00:00:43.495,2.4
00:00:43.751,2.1
00:00:44.007,2.1
00:00:44.247,2.4
00:00:44.502,2.4
00:00:44.758,2.4
00:00:44.998,2.8
00:00:45.253,2.8
00:00:45.493,2.5
00:00:45.750,2.5
00:00:46.005,2.8
00:00:46.245,2.8
00:00:46.501,2.8
00:00:46.757,3.3
00:00:46.997,3.3
00:00:47.253,3.1
00:00:47.509,3.4
00:00:47.749,3.4
00:00:48.004,3.2
00:00:48.244,3.2
00:00:48.500,3.4
00:00:48.756,3.4
00:00:48.995,3.6
00:00:49.252,4.0
00:00:49.507,4.0
00:00:49.747,4.0
00:00:50.003,4.0
00:00:50.243,4.3
00:00:50.499,4.3
00:00:50.755,4.7
00:00:50.995,5.0
00:00:51.250,5.0
00:00:51.507,5.1
00:00:51.747,5.1
00:00:52.003,5.4
00:00:52.258,6.0
00:00:52.498,6.0
00:00:52.754,6.1
00:00:52.993,6.1
00:00:53.250,6.8
00:00:53.505,6.8
00:00:53.745,7.0
00:00:54.001,7.5
00:00:54.257,7.5
00:00:54.497,7.7
00:00:54.753,7.7
00:00:55.008,8.5
00:00:55.249,8.5
00:00:55.504,9.2
00:00:55.744,10.1
00:00:56.000,10.1
00:00:56.256,10.1
00:00:56.496,10.1
00:00:56.751,11.5
00:00:57.008,12.7
00:00:57.247,12.7
00:00:57.503,13.7
00:00:57.759,13.7
00:00:57.999,14.4
00:00:58.254,14.4
00:00:58.494,15.5
00:00:58.750,15.9
00:00:59.006,15.9
00:00:59.246,16.0
00:00:59.502,16.0
00:00:59.758,17.1
00:00:59.997,17.1
00:01:00.253,18.2
00:01:00.493,21.0
00:01:00.749,21.0
00:01:01.005,23.0
00:01:01.245,23.0
00:01:01.501,25.4
00:01:01.756,28.2
00:01:01.996,28.2
00:01:02.253,31.0
00:01:02.508,31.0
00:01:02.748,33.6
00:01:03.004,33.6
00:01:03.244,35.7
00:01:03.500,40.4
00:01:03.755,40.4
00:01:03.995,45.2
00:01:04.251,45.2
00:01:04.507,50.4
00:01:04.747,50.4
00:01:05.003,56.2
00:01:05.259,65.9
00:01:05.498,65.9
00:01:05.754,72.3
00:01:05.995,72.3
00:01:06.250,84.7
00:01:06.506,103.6
00:01:06.746,103.6
00:01:07.001,109.1
00:01:07.257,109.1
00:01:07.498,104.8
00:01:07.753,104.8
00:01:08.009,77.7
00:01:08.249,67.6
00:01:08.505,67.6
00:01:08.745,57.0
00:01:09.001,57.0
00:01:09.256,49.9
00:01:09.496,44.5
00:01:09.752,44.5
00:01:10.008,37.1
00:01:10.248,37.1
00:01:10.503,33.9
00:01:10.744,33.9
00:01:10.999,28.7
00:01:11.255,24.5
00:01:11.495,24.5
00:01:11.751,23.0
00:01:12.006,23.0
00:01:12.247,20.3
00:01:12.503,20.3
00:01:12.758,19.2
00:01:12.998,18.1
00:01:13.254,18.1
00:01:13.494,16.3
00:01:13.749,16.3
00:01:14.006,14.6
00:01:14.245,13.7
00:01:14.501,13.7
00:01:14.757,12.2
00:01:14.997,12.2
00:01:15.253,11.2
00:01:15.509,11.2
00:01:15.748,10.1
00:01:16.005,9.5
00:01:16.244,9.5
00:01:16.500,8.9
00:01:16.756,8.9
00:01:16.996,7.8
00:01:17.252,7.8
00:01:17.508,7.7
00:01:17.748,6.8
00:01:18.003,6.8
00:01:18.243,6.2
00:01:18.500,6.2
00:01:18.755,5.8
00:01:18.995,5.3
00:01:19.251,5.3
00:01:19.507,4.9
00:01:19.747,4.9
00:01:20.002,4.8
00:01:20.258,4.8
00:01:20.498,4.5
00:01:20.754,4.3
00:01:20.993,4.3
00:01:21.249,3.9
00:01:21.505,3.9
00:01:21.745,3.8
00:01:22.001,3.8
00:01:22.257,3.6
00:01:22.497,3.4
00:01:22.752,3.4
00:01:23.009,3.0
00:01:23.249,3.0
00:01:23.504,3.1
00:01:23.745,2.8
00:01:24.000,2.8
00:01:24.256,2.6
00:01:24.496,2.6
00:01:24.752,2.6
00:01:25.007,2.6
00:01:25.248,2.4
00:01:25.503,2.3
00:01:25.759,2.3
00:01:25.999,2.0
00:01:26.255,2.0
00:01:26.495,2.2
00:01:26.750,2.2
00:01:27.006,2.0
00:01:27.246,2.0
00:01:27.502,2.0
00:01:27.758,1.8
00:01:27.998,1.8
00:01:28.254,2.2
00:01:28.510,1.6
00:01:28.750,1.6
00:01:29.005,1.6
00:01:29.245,1.6
00:01:29.501,1.3
00:01:29.757,1.3
00:01:29.997,1.1
00:01:30.253,1.3
00:01:30.509,1.3
00:01:30.748,1.1
00:01:31.004,1.1
00:01:31.244,1.2
00:01:31.500,1.2
00:01:31.755,1.0
00:01:31.996,1.1
00:01:32.251,1.1
00:01:32.507,0.8
00:01:32.747,0.8
00:01:33.003,0.7
00:01:33.259,0.7
00:01:33.499,0.9
00:01:33.754,1.0
00:01:33.994,1.0
00:01:34.250,0.7
00:01:34.506,0.7
00:01:34.745,0.9
00:01:35.002,0.9
00:01:35.258,0.9
00:01:35.497,0.8
00:01:35.753,0.8
00:01:36.008,1.0
00:01:36.249,1.0
00:01:36.505,0.8
00:01:36.744,1.0
00:01:37.001,1.0
00:01:37.256,1.0
00:01:37.496,1.0
00:01:37.752,0.8
00:01:38.008,0.8
00:01:38.248,1.0
00:01:38.504,0.9
00:01:38.760,0.9
00:01:38.999,0.7
00:01:39.255,0.7
00:01:39.495,0.8
00:01:39.751,0.8
00:01:40.007,0.6
00:01:40.246,0.9
00:01:40.503,0.9
00:01:40.759,0.9
00:01:40.999,0.9
00:01:41.254,0.8
00:01:41.494,0.8
00:01:41.750,0.8
00:01:42.006,0.8
00:01:42.246,0.8
00:01:42.501,1.0
00:01:42.757,1.0
