#Time,Field (G)
00:00:00.000,0.5
00:00:00.256,0.2
00:00:00.512,0.2
00:00:00.751,0.5
00:00:01.008,0.5
00:00:01.263,0.3
00:00:01.503,0.1
00:00:01.759,0.1
00:00:02.014,0.1
00:00:02.255,0.1
00:00:02.511,0.3
00:00:02.751,0.3
00:00:03.006,0.4
00:00:03.262,0.5
00:00:03.502,0.5
00:00:03.758,0.4
00:00:04.014,0.4
00:00:04.254,0.6
00:00:04.509,0.6
00:00:04.749,0.4
00:00:05.005,0.4
00:00:05.261,0.4
00:00:05.500,0.7
00:00:05.757,0.7
00:00:06.012,2.4
00:00:06.252,3.9
00:00:06.508,3.9
00:00:06.764,3.8
00:00:07.004,3.8
00:00:07.260,4.0
00:00:07.499,4.0
00:00:07.756,3.9
00:00:08.012,4.1
00:00:08.251,4.1
00:00:08.507,3.8
00:00:08.763,3.8
00:00:09.003,4.0
00:00:09.259,4.0
00:00:09.515,4.0
00:00:09.754,3.9
00:00:10.010,3.9
00:00:10.250,3.9
00:00:10.506,3.9
00:00:10.762,3.9
00:00:11.001,3.9
00:00:11.257,3.9
00:00:11.514,3.9
00:00:11.753,3.9
00:00:12.009,3.6
00:00:12.265,3.6
00:00:12.505,3.7
00:00:12.760,3.7
00:00:13.001,3.7
00:00:13.257,3.8
00:00:13.512,3.8
00:00:13.752,3.5
00:00:14.008,3.5
00:00:14.264,3.9
00:00:14.503,3.9
00:00:14.759,3.9
00:00:14.999,4.1
00:00:15.255,4.1
00:00:15.511,3.7
00:00:15.751,3.7
00:00:16.007,3.9
00:00:16.263,3.8
00:00:16.502,3.8
00:00:16.758,4.0
00:00:17.014,4.0
00:00:17.254,3.7
00:00:17.510,4.0
00:00:17.750,4.0
00:00:18.006,3.8
00:00:18.261,3.8
00:00:18.501,4.0
00:00:18.757,4.0
00:00:19.013,3.6
00:00:19.253,3.7
00:00:19.509,3.7
00:00:19.764,3.7
00:00:20.004,3.7
00:00:20.260,3.8,24
00:00:20.500,3.8
00:00:20.755,3.5
00:00:21.011,3.7
00:00:21.251,3.7
00:00:21.507,3.5
00:00:21.763,3.5
00:00:22.003,3.6
00:00:22.259,3.4
00:00:22.514,3.4
00:00:22.755,2.7
00:00:23.011,2.7,23
00:00:23.250,1.6
00:00:23.506,1.6
00:00:23.763,1.2
00:00:24.002,0.8,22
00:00:24.259,0.8
00:00:24.514,0.4
00:00:24.753,0.4
00:00:25.010,0.5
00:00:25.250,0.5
00:00:25.505,0.2
00:00:25.761,0.4
00:00:26.001,0.4,21
00:00:26.257,0.4
00:00:26.513,0.4
00:00:26.753,0.6
00:00:27.009,0.6,20
00:00:27.265,1.0
00:00:27.504,1.2
00:00:27.760,1.2
00:00:28.000,1.3
00:00:28.255,1.3
00:00:28.511,1.5
00:00:28.752,1.7
00:00:29.007,1.7,19
00:00:29.264,1.4
00:00:29.503,1.4
00:00:29.759,1.4
00:00:30.014,1.4
00:00:30.254,1.7
00:00:30.511,1.8
00:00:30.750,1.8
00:00:31.005,2.3,18
00:00:31.261,2.3
00:00:31.502,2.0
00:00:31.757,2.0
00:00:32.013,2.0
00:00:32.253,2.2
00:00:32.509,2.2
00:00:32.765,2.3
00:00:33.005,2.3,17
00:00:33.261,2.7
00:00:33.500,2.5
00:00:33.756,2.5
00:00:34.012,2.9,16
00:00:34.251,2.9
00:00:34.508,2.9
00:00:34.763,2.9
00:00:35.004,3.2
00:00:35.259,3.5,15
00:00:35.515,3.5
00:00:35.755,3.4
00:00:36.010,3.4
00:00:36.250,3.8
00:00:36.506,3.8,14
00:00:36.763,3.9
00:00:37.002,4.2
00:00:37.258,4.2
00:00:37.514,4.1
00:00:37.754,4.1
00:00:38.009,4.4,13
00:00:38.250,4.4
00:00:38.505,4.6
00:00:38.761,4.7
00:00:39.002,4.7
00:00:39.257,4.8,12
00:00:39.512,4.8
00:00:39.752,5.4
00:00:40.008,5.6
00:00:40.264,5.6
00:00:40.504,6.1
00:00:40.760,6.1
00:00:41.000,6.3,11
00:00:41.256,6.3
00:00:41.512,6.5
00:00:41.751,7.0
00:00:42.007,7.0,10
00:00:42.263,7.7,9
00:00:42.503,7.7
00:00:42.759,8.7
00:00:43.015,8.7
00:00:43.255,8.9
00:00:43.510,9.5
00:00:43.750,9.5
00:00:44.006,10.1,8
00:00:44.262,10.1
00:00:44.502,11.2
00:00:44.757,12.1
00:00:45.014,12.1
00:00:45.253,13.1,7
00:00:45.509,13.1
00:00:45.765,14.3
00:00:46.005,14.3
00:00:46.261,14.4
00:00:46.501,15.3
00:00:46.757,15.3
00:00:47.013,17.0,6
00:00:47.252,17.0
00:00:47.508,17.9
00:00:47.764,17.9
00:00:48.004,19.7,5
00:00:48.259,21.0
00:00:48.499,21.0
00:00:48.755,24.7
00:00:49.012,24.7
00:00:49.251,26.7
00:00:49.507,28.4
00:00:49.762,28.4
00:00:50.002,30.5,4
00:00:50.259,30.5
00:00:50.514,33.1
00:00:50.754,33.1
00:00:51.010,35.3,3
00:00:51.250,38.7
00:00:51.506,38.7
00:00:51.762,43.0
00:00:52.002,43.0
00:00:52.257,47.5
00:00:52.513,52.7
00:00:52.753,52.7
00:00:53.009,60.3,2
00:00:53.265,60.3
00:00:53.505,65.3
00:00:53.761,65.3
00:00:54.000,72.5
00:00:54.256,84.6,1
00:00:54.512,84.6
00:00:54.752,97.5
00:00:55.008,97.5
00:00:55.264,110.7,0
00:00:55.503,110.7
00:00:55.760,132.6
00:00:56.015,154.6,1
00:00:56.255,154.6
00:00:56.511,163.8
00:00:56.751,163.8
00:00:57.006,166.8
00:00:57.262,132.2,2
00:00:57.502,132.2
00:00:57.758,108.9
00:00:58.014,108.9,3
00:00:58.254,94.5
00:00:58.510,94.5
00:00:58.750,78.1
00:00:59.006,65.5
00:00:59.261,65.5,4
00:00:59.501,56.1
00:00:59.757,56.1
00:01:00.013,48.5
00:01:00.253,42.8
00:01:00.509,42.8
00:01:00.765,35.1
00:01:01.004,35.1,5
00:01:01.260,33.2
00:01:01.500,33.2
00:01:01.756,30.5
00:01:02.011,25.9
00:01:02.252,25.9,6
00:01:02.508,24.1
00:01:02.763,24.1
00:01:03.003,22.0
00:01:03.259,22.0,7
00:01:03.515,20.9
00:01:03.755,18.8
00:01:04.011,18.8
00:01:04.251,17.4,8
00:01:04.507,17.4
00:01:04.762,14.8
00:01:05.002,12.8
00:01:05.258,12.8
00:01:05.514,12.1
00:01:05.754,12.1
00:01:06.009,11.9
00:01:06.265,11.9,9
00:01:06.505,10.9,10
00:01:06.761,10.3
00:01:07.001,10.3
00:01:07.257,9.2
00:01:07.513,9.2
00:01:07.753,9.1
00:01:08.009,9.1
00:01:08.265,8.2
00:01:08.504,7.5
00:01:08.760,7.5
00:01:09.000,7.3
00:01:09.255,7.3,11
00:01:09.511,6.8
00:01:09.752,6.1
00:01:10.007,6.1,12
00:01:10.263,5.9
00:01:10.503,5.9
00:01:10.759,5.6
00:01:11.015,5.6
00:01:11.254,5.2,13
00:01:11.511,4.5
00:01:11.750,4.5
00:01:12.006,4.2
00:01:12.262,4.2,14
00:01:12.502,4.0
00:01:12.758,4.0
00:01:13.013,3.6
00:01:13.254,3.2
00:01:13.509,3.2
00:01:13.765,3.1
00:01:14.005,3.1,15
00:01:14.261,3.1
00:01:14.500,3.1
00:01:14.757,2.9
00:01:15.012,2.8,16
00:01:15.252,2.8
00:01:15.508,2.5
00:01:15.764,2.5
00:01:16.004,2.2,17
00:01:16.260,2.1
00:01:16.516,2.1
00:01:16.755,2.2
00:01:17.011,2.2,18
00:01:17.251,2.1
00:01:17.507,2.1
00:01:17.762,1.9
00:01:18.003,1.5
00:01:18.259,1.5,19
00:01:18.515,1.3
00:01:18.754,1.3
00:01:19.010,1.1
00:01:19.250,1.1
00:01:19.506,1.3
00:01:19.762,0.9
00:01:20.002,0.9
00:01:20.257,0.5,20
00:01:20.513,0.5
00:01:20.753,0.3
00:01:21.009,0.2
00:01:21.264,0.2,21
00:01:21.505,0.1
00:01:21.761,0.1
00:01:22.000,-0.2
00:01:22.257,-0.2
00:01:22.512,0.3
00:01:22.752,0.5
00:01:23.008,0.5
00:01:23.264,0.4
00:01:23.504,0.4
00:01:23.760,0.4
00:01:24.015,0.4
00:01:24.255,0.5
00:01:24.511,0.5
00:01:24.751,0.5
00:01:25.006,0.5
00:01:25.263,0.5
00:01:25.502,0.2
00:01:25.758,0.2
00:01:26.014,0.5
00:01:26.254,0.4
00:01:26.510,0.4
00:01:26.765,0.4
00:01:27.006,0.4
00:01:27.261,0.5
00:01:27.502,0.6
00:01:27.757,0.6
00:01:28.013,0.4
00:01:28.253,0.4
00:01:28.508,0.6
00:01:28.764,0.6
00:01:29.004,0.5
00:01:29.260,0.6
