z_pos,x_pos,y_pos,time,flux,err_byte
0.000,0.000,0.000,0.250,26823.000,64.039
0.000,0.000,0.000,0.500,26823.000,64.289
0.000,0.000,0.000,0.750,26823.000,64.539
0.000,0.000,0.000,1.000,26822.000,64.788
0.000,0.000,0.000,1.250,26822.000,65.038
0.000,0.000,0.000,1.500,26823.000,65.288
0.000,0.000,0.000,1.750,26824.000,65.538
0.000,0.000,0.000,2.000,26824.000,65.788
0.000,0.000,0.000,2.250,26823.000,66.038
0.000,0.000,0.000,2.500,26823.000,66.288
0.000,0.000,0.000,2.750,26672.000,66.539
0.000,0.000,0.000,3.000,25572.000,66.790
0.000,0.000,0.000,3.250,25572.000,67.040
0.000,0.000,0.000,3.500,24245.000,67.290
0.000,0.000,0.000,3.750,24245.000,67.541
0.000,0.000,0.000,4.000,22911.000,67.790
0.000,0.000,0.000,4.250,22911.000,68.041
0.000,0.000,0.000,4.500,21586.000,68.291
0.000,0.000,0.000,4.750,20287.000,68.540
0.000,0.000,0.000,5.000,20287.000,68.791
0.000,0.000,0.000,5.250,19028.000,69.041
0.000,0.000,0.000,5.500,19028.000,69.290
0.000,0.000,0.000,5.750,1781.500,69.540
0.000,0.000,0.000,6.000,16493.000,69.789
0.000,0.000,0.000,6.250,16493.000,70.039
0.000,0.000,0.000,6.500,15385.600,70.289
0.000,0.000,0.000,6.750,15385.600,70.538
0.000,0.000,0.000,7.000,14331.000,70.788
0.000,0.000,0.000,7.250,13332.400,71.039
0.000,0.000,0.000,7.500,13332.400,71.290
0.000,0.000,0.000,7.750,12390.200,71.541
0.000,0.000,0.000,8.000,12390.200,71.791
0.000,0.000,0.000,8.250,11505.600,72.041
0.000,0.000,0.000,8.500,10682.300,72.292
0.000,0.000,0.000,8.750,10682.300,72.543
0.000,0.000,0.000,9.000,9913.400,72.793
0.000,0.000,0.000,9.250,9913.400,73.043
0.000,0.000,0.000,9.500,9199.500,73.294
0.000,0.000,0.000,9.750,9199.500,73.546
0.000,0.000,0.000,10.000,8534.100,73.796
0.000,0.000,0.000,10.250,7921.300,74.048
0.000,0.000,0.000,10.500,7921.300,74.300
0.000,0.000,0.000,10.750,7350.400,74.550
0.000,0.000,0.000,11.000,7350.400,74.801
0.000,0.000,0.000,11.250,6821.700,75.053
0.000,0.000,0.000,11.500,6334.400,75.303
0.000,0.000,0.000,11.750,6334.400,75.554
0.000,0.000,0.000,12.000,5886.100,75.803
0.000,0.000,0.000,12.250,5886.100,76.054
0.000,0.000,0.000,12.500,5471.300,76.305
0.000,0.000,0.000,12.750,5087.700,76.554
0.000,0.000,0.000,13.000,5087.700,76.804
0.000,0.000,0.000,13.250,4733.600,77.055
0.000,0.000,0.000,13.500,4733.600,77.305
0.000,0.000,0.000,13.750,4406.000,77.555
0.000,0.000,0.000,14.000,4103.500,77.805
0.000,0.000,0.000,14.250,4103.500,78.055
0.000,0.000,0.000,14.500,3822.200,78.305
0.000,0.000,0.000,14.750,3822.200,78.556
0.000,0.000,0.000,15.000,3562.800,78.807
0.000,0.000,0.000,15.250,3323.300,79.056
0.000,0.000,0.000,15.500,3323.300,79.306
0.000,0.000,0.000,15.750,3102.300,79.557
0.000,0.000,0.000,16.000,3102.300,79.805
0.000,0.000,0.000,16.250,2896.400,80.056
0.000,0.000,0.000,16.500,2896.400,80.305
0.000,0.000,0.000,16.750,2705.500,80.554
0.000,0.000,0.000,17.000,2529.100,80.804
0.000,0.000,0.000,17.250,2529.100,81.055
0.000,0.000,0.000,17.500,2365.700,81.305
0.000,0.000,0.000,17.750,2365.700,81.555
0.000,0.000,0.000,18.000,2214.100,81.805
0.000,0.000,0.000,18.250,2073.700,82.054
0.000,0.000,0.000,18.500,2073.700,82.305
0.000,0.000,0.000,18.750,1944.800,82.555
0.000,0.000,0.000,19.000,1944.800,82.804
0.000,0.000,0.000,19.250,1824.200,83.054
0.000,0.000,0.000,19.500,1711.700,83.305
0.000,0.000,0.000,19.750,1711.700,83.554
0.000,0.000,0.000,20.000,1607.100,83.805
0.000,0.000,0.000,20.250,1607.100,84.053
0.000,0.000,0.000,20.500,1510.000,84.302
0.000,0.000,0.000,20.750,1419.700,84.552
0.000,0.000,0.000,21.000,1419.700,84.803
0.000,0.000,0.000,21.250,1335.800,85.053
0.000,0.000,0.000,21.500,1335.800,85.303
0.000,0.000,0.000,21.750,1256.900,85.552
0.000,0.000,0.000,22.000,1184.500,85.803
0.000,0.000,0.000,22.250,1184.500,86.051
0.000,0.000,0.000,22.500,1116.600,86.301
0.000,0.000,0.000,22.750,1116.600,86.550
0.000,0.000,0.000,23.000,1053.200,86.800
0.000,0.000,0.000,23.250,994.000,87.049
0.000,0.000,0.000,23.500,994.000,87.298
