z_pos,x_pos,y_pos,time,flux,err_byte
0.000,76.200,0.000,0.250,561.200,2.668
0.000,76.200,0.000,0.500,561.200,2.918
0.000,76.200,0.000,0.750,561.300,3.168
0.000,76.200,0.000,1.000,561.300,3.418
0.000,76.200,0.000,1.250,561.100,3.667
0.000,76.200,0.000,1.500,561.200,3.917
0.000,76.200,0.000,1.750,561.200,4.166
0.000,76.200,0.000,2.000,561.200,4.416
0.000,76.200,0.000,2.250,561.200,4.665
0.000,76.200,0.000,2.500,561.300,4.914
0.000,76.200,0.000,2.750,561.000,5.164
0.000,76.200,0.000,3.000,561.000,5.415
0.000,76.200,0.000,3.250,563.500,5.665
0.000,76.200,0.000,3.500,563.500,5.915
0.000,76.200,0.000,3.750,587.600,6.165
0.000,76.200,0.000,4.000,618.500,6.415
0.000,76.200,0.000,4.250,618.500,6.666
0.000,76.200,0.000,4.500,651.600,6.916
0.000,76.200,0.000,4.750,651.600,7.164
0.000,76.200,0.000,5.000,687.100,7.415
0.000,76.200,0.000,5.250,725.400,7.665
0.000,76.200,0.000,5.500,725.400,7.915
0.000,76.200,0.000,5.750,765.700,8.164
0.000,76.200,0.000,6.000,765.700,8.414
0.000,76.200,0.000,6.250,808.700,8.665
0.000,76.200,0.000,6.500,855.100,8.915
0.000,76.200,0.000,6.750,855.100,9.163
0.000,76.200,0.000,7.000,904.300,9.413
0.000,76.200,0.000,7.250,904.300,9.662
0.000,76.200,0.000,7.500,956.900,9.911
0.000,76.200,0.000,7.750,1013.300,10.161
0.000,76.200,0.000,8.000,1013.300,10.410
0.000,76.200,0.000,8.250,1073.500,10.662
0.000,76.200,0.000,8.500,1073.500,10.912
0.000,76.200,0.000,8.750,1138.100,11.161
0.000,76.200,0.000,9.000,1138.100,11.412
0.000,76.200,0.000,9.250,1207.200,11.661
0.000,76.200,0.000,9.500,1282.200,11.911
0.000,76.200,0.000,9.750,1282.200,12.162
0.000,76.200,0.000,10.000,1362.200,12.410
0.000,76.200,0.000,10.250,1362.200,12.661
0.000,76.200,0.000,10.500,1447.700,12.911
0.000,76.200,0.000,10.750,1539.900,13.162
0.000,76.200,0.000,11.000,1539.900,13.411
0.000,76.200,0.000,11.250,1639.300,13.661
0.000,76.200,0.000,11.500,1639.300,13.911
0.000,76.200,0.000,11.750,1745.700,14.161
0.000,76.200,0.000,12.000,1859.400,14.412
0.000,76.200,0.000,12.250,1859.400,14.661
0.000,76.200,0.000,12.500,1982.300,14.912
0.000,76.200,0.000,12.750,1982.300,15.161
0.000,76.200,0.000,13.000,2115.300,15.410
0.000,76.200,0.000,13.250,2258.600,15.661
0.000,76.200,0.000,13.500,2258.600,15.912
0.000,76.200,0.000,13.750,2412.800,16.162
0.000,76.200,0.000,14.000,2412.800,16.412
0.000,76.200,0.000,14.250,2578.500,16.662
0.000,76.200,0.000,14.500,2758.400,16.912
0.000,76.200,0.000,14.750,2758.400,17.162
0.000,76.200,0.000,15.000,2951.200,17.411
0.000,76.200,0.000,15.250,2951.200,17.660
0.000,76.200,0.000,15.500,3159.900,17.910
0.000,76.200,0.000,15.750,3386.700,18.160
0.000,76.200,0.000,16.000,3386.700,18.409
0.000,76.200,0.000,16.250,3631.800,18.659
0.000,76.200,0.000,16.500,3631.800,18.910
0.000,76.200,0.000,16.750,3895.100,19.162
0.000,76.200,0.000,17.000,3895.100,19.412
0.000,76.200,0.000,17.250,4179.500,19.663
0.000,76.200,0.000,17.500,4488.900,19.912
0.000,76.200,0.000,17.750,4488.900,20.161
0.000,76.200,0.000,18.000,4823.500,20.412
0.000,76.200,0.000,18.250,4823.500,20.662
0.000,76.200,0.000,18.500,5185.100,20.912
0.000,76.200,0.000,18.750,5575.800,21.164
0.000,76.200,0.000,19.000,5575.800,21.414
0.000,76.200,0.000,19.250,5999.200,21.663
0.000,76.200,0.000,19.500,5999.200,21.914
0.000,76.200,0.000,19.750,6458.100,22.164
0.000,76.200,0.000,20.000,6959.300,22.415
0.000,76.200,0.000,20.250,6959.300,22.664
0.000,76.200,0.000,20.500,7501.200,22.913
0.000,76.200,0.000,20.750,7501.200,23.162
0.000,76.200,0.000,21.000,8083.000,23.412
0.000,76.200,0.000,21.250,8718.400,23.661
0.000,76.200,0.000,21.500,8718.400,23.910
0.000,76.200,0.000,21.750,9408.400,24.160
0.000,76.200,0.000,22.000,9408.400,24.410
0.000,76.200,0.000,22.250,10148.400,24.658
0.000,76.200,0.000,22.500,10148.400,24.908
0.000,76.200,0.000,22.750,10941.400,25.158
0.000,76.200,0.000,23.000,11797.300,25.410
0.000,76.200,0.000,23.250,11797.300,25.659
0.000,76.200,0.000,23.500,12718.900,25.911
0.000,76.200,0.000,23.750,12718.900,26.161
0.000,76.200,0.000,24.000,13705.600,26.411
0.000,76.200,0.000,24.250,14748.600,26.662
0.000,76.200,0.000,24.500,14748.600,26.912
0.000,76.200,0.000,24.750,15847.800,27.162
0.000,76.200,0.000,25.000,15847.800,27.412
0.000,76.200,0.000,25.250,17011.400,27.662
0.000,76.200,0.000,25.500,18239.400,27.911
0.000,76.200,0.000,25.750,18239.400,28.160
0.000,76.200,0.000,26.000,19500.200,28.410
0.000,76.200,0.000,26.250,19500.200,28.660
0.000,76.200,0.000,26.500,200093.000,28.911
0.000,76.200,0.000,26.750,22316.000,29.162
0.000,76.200,0.000,27.000,22316.000,29.412
0.000,76.200,0.000,27.250,23699.000,29.662
0.000,76.200,0.000,27.500,23699.000,29.912
0.000,76.200,0.000,27.750,25096.000,30.163
0.000,76.200,0.000,28.000,25096.000,30.412
0.000,76.200,0.000,28.250,26455.000,30.662
0.000,76.200,0.000,28.500,27068.000,30.911
0.000,76.200,0.000,28.750,27068.000,31.161
0.000,76.200,0.000,29.000,27063.000,31.411
0.000,76.200,0.000,29.250,27063.000,31.660
0.000,76.200,0.000,29.500,27061.000,31.911
0.000,76.200,0.000,29.750,27062.000,32.162
0.000,76.200,0.000,30.000,27062.000,32.412
