z_pos,x_pos,y_pos,time,flux,err_byte
0.000,76.200,0.000,0.250,584.700,7.701
0.000,76.200,0.000,0.500,584.700,7.952
0.000,76.200,0.000,0.750,585.100,8.201
0.000,76.200,0.000,1.000,585.100,8.449
0.000,76.200,0.000,1.250,584.800,8.701
0.000,76.200,0.000,1.500,584.800,8.951
0.000,76.200,0.000,1.750,584.600,9.202
0.000,76.200,0.000,2.000,584.900,9.453
0.000,76.200,0.000,2.250,584.900,9.704
0.000,76.200,0.000,2.500,585.000,9.953
0.000,76.200,0.000,2.750,585.000,10.204
0.000,76.200,0.000,3.000,584.800,10.453
0.000,76.200,0.000,3.250,584.600,10.703
0.000,76.200,0.000,3.500,584.600,10.953
0.000,76.200,0.000,3.750,584.600,11.201
0.000,76.200,0.000,4.000,584.600,11.451
0.000,76.200,0.000,4.250,599.700,11.701
0.000,76.200,0.000,4.500,599.700,11.951
0.000,76.200,0.000,4.750,631.500,12.201
0.000,76.200,0.000,5.000,666.100,12.451
0.000,76.200,0.000,5.250,666.100,12.701
0.000,76.200,0.000,5.500,702.900,12.950
0.000,76.200,0.000,5.750,702.900,13.200
0.000,76.200,0.000,6.000,742.300,13.450
0.000,76.200,0.000,6.250,784.300,13.700
0.000,76.200,0.000,6.500,784.300,13.950
0.000,76.200,0.000,6.750,828.300,14.201
0.000,76.200,0.000,7.000,828.300,14.450
0.000,76.200,0.000,7.250,876.900,14.700
0.000,76.200,0.000,7.500,928.000,14.951
0.000,76.200,0.000,7.750,928.000,15.200
0.000,76.200,0.000,8.000,982.200,15.452
0.000,76.200,0.000,8.250,982.200,15.701
0.000,76.200,0.000,8.500,1040.900,15.951
0.000,76.200,0.000,8.750,1103.500,16.200
0.000,76.200,0.000,9.000,1103.500,16.449
0.000,76.200,0.000,9.250,1170.900,16.700
0.000,76.200,0.000,9.500,1170.900,16.950
0.000,76.200,0.000,9.750,1242.400,17.202
0.000,76.200,0.000,10.000,1320.000,17.451
0.000,76.200,0.000,10.250,1320.000,17.701
0.000,76.200,0.000,10.500,1403.500,17.951
0.000,76.200,0.000,10.750,1403.500,18.202
0.000,76.200,0.000,11.000,1492.800,18.452
0.000,76.200,0.000,11.250,1588.800,18.702
0.000,76.200,0.000,11.500,1588.800,18.951
0.000,76.200,0.000,11.750,1691.900,19.202
0.000,76.200,0.000,12.000,1691.900,19.452
0.000,76.200,0.000,12.250,1803.100,19.704
0.000,76.200,0.000,12.500,1803.100,19.955
0.000,76.200,0.000,12.750,1922.700,20.205
0.000,76.200,0.000,13.000,2050.800,20.454
0.000,76.200,0.000,13.250,2050.800,20.704
0.000,76.200,0.000,13.500,2188.600,20.953
0.000,76.200,0.000,13.750,2188.600,21.203
0.000,76.200,0.000,14.000,2338.500,21.454
0.000,76.200,0.000,14.250,2499.900,21.703
0.000,76.200,0.000,14.500,2499.900,21.954
0.000,76.200,0.000,14.750,2673.600,22.205
0.000,76.200,0.000,15.000,2673.600,22.454
0.000,76.200,0.000,15.250,2860.700,22.706
0.000,76.200,0.000,15.500,3064.400,22.956
0.000,76.200,0.000,15.750,3064.400,23.206
0.000,76.200,0.000,16.000,3283.300,23.455
0.000,76.200,0.000,16.250,3283.300,23.706
0.000,76.200,0.000,16.500,3518.700,23.955
0.000,76.200,0.000,16.750,3773.600,24.204
0.000,76.200,0.000,17.000,3773.600,24.453
0.000,76.200,0.000,17.250,4049.200,24.703
0.000,76.200,0.000,17.500,4049.200,24.954
0.000,76.200,0.000,17.750,4346.700,25.203
0.000,76.200,0.000,18.000,4668.200,25.453
0.000,76.200,0.000,18.250,4668.200,25.703
0.000,76.200,0.000,18.500,5014.800,25.952
0.000,76.200,0.000,18.750,5014.800,26.202
0.000,76.200,0.000,19.000,5388.900,26.450
0.000,76.200,0.000,19.250,5793.400,26.700
0.000,76.200,0.000,19.500,5793.400,26.949
0.000,76.200,0.000,19.750,6229.600,27.199
0.000,76.200,0.000,20.000,6229.600,27.448
0.000,76.200,0.000,20.250,6699.800,27.698
0.000,76.200,0.000,20.500,6699.800,27.948
0.000,76.200,0.000,20.750,7211.900,28.197
0.000,76.200,0.000,21.000,7763.600,28.447
0.000,76.200,0.000,21.250,7763.600,28.697
0.000,76.200,0.000,21.500,8355.300,28.948
0.000,76.200,0.000,21.750,8355.300,29.197
0.000,76.200,0.000,22.000,8990.400,29.448
0.000,76.200,0.000,22.250,9675.600,29.698
0.000,76.200,0.000,22.500,9675.600,29.948
0.000,76.200,0.000,22.750,10408.100,30.198
0.000,76.200,0.000,23.000,10408.100,30.448
0.000,76.200,0.000,23.250,11191.000,30.698
0.000,76.200,0.000,23.500,12027.600,30.948
0.000,76.200,0.000,23.750,12027.600,31.198
0.000,76.200,0.000,24.000,12916.400,31.447
0.000,76.200,0.000,24.250,12916.400,31.698
0.000,76.200,0.000,24.500,13853.400,31.947
0.000,76.200,0.000,24.750,14842.400,32.198
0.000,76.200,0.000,25.000,14842.400,32.447
0.000,76.200,0.000,25.250,15880.700,32.697
0.000,76.200,0.000,25.500,15880.700,32.947
0.000,76.200,0.000,25.750,16966.000,33.199
0.000,76.200,0.000,26.000,16966.000,33.448
0.000,76.200,0.000,26.250,18093.500,33.699
0.000,76.200,0.000,26.500,19261.200,33.949
0.000,76.200,0.000,26.750,19261.200,34.200
0.000,76.200,0.000,27.000,199998.000,34.450
0.000,76.200,0.000,27.250,199998.000,34.698
0.000,76.200,0.000,27.500,21835.000,34.948
0.000,76.200,0.000,27.750,23075.000,35.199
0.000,76.200,0.000,28.000,23075.000,35.449
0.000,76.200,0.000,28.250,24322.000,35.699
0.000,76.200,0.000,28.500,24322.000,35.950
0.000,76.200,0.000,28.750,25564.000,36.199
0.000,76.200,0.000,29.000,26499.000,36.449
0.000,76.200,0.000,29.250,26499.000,36.698
0.000,76.200,0.000,29.500,26572.000,36.950
0.000,76.200,0.000,29.750,26572.000,37.200
0.000,76.200,0.000,30.000,26570.000,37.450
