z_pos,x_pos,y_pos,time,flux,err_byte
0.000,0.000,0.000,0.250,1.700,1.556
0.000,0.000,0.000,0.500,1.400,2.528
0.000,0.000,0.000,0.750,198.700,4.361
0.000,0.000,0.000,1.000,735.400,4.823
0.000,0.000,0.000,1.250,709.400,5.156
0.000,0.000,0.000,1.500,851.700,5.729
0.000,0.000,0.000,1.750,886.500,6.241
0.000,0.000,0.000,0.250,1.500,3.449
0.000,0.000,0.000,0.500,1.600,4.281
0.000,0.000,0.000,0.750,242.200,4.853
0.000,0.000,0.000,1.000,367.400,5.359
0.000,0.000,0.000,1.250,949.300,5.835
0.000,0.000,0.000,1.500,1143.800,6.307
0.000,0.000,0.000,1.750,674.100,6.598
0.000,0.000,0.000,2.000,669.500,6.991
0.000,0.000,0.000,0.000,0.000,7.373
0.000,0.000,0.000,0.250,626.600,6.548
0.000,0.000,0.000,0.500,619.400,7.249
0.000,0.000,0.000,0.750,612.000,8.010
0.000,0.000,0.000,1.000,611.700,8.749
0.000,0.000,0.000,1.250,610.900,9.445
0.000,0.000,0.000,1.500,609.800,10.108
0.000,0.000,0.000,1.750,605.300,10.803
0.000,0.000,0.000,2.000,607.900,11.488
0.000,0.000,0.000,2.250,589.900,12.189
0.000,0.000,0.000,2.500,583.400,12.916
0.000,0.000,0.000,2.750,577.800,13.531
0.000,0.000,0.000,3.000,576.100,14.255
0.000,0.000,0.000,3.250,571.500,15.038
0.000,0.000,0.000,3.500,570.100,15.749
0.000,0.000,0.000,3.750,560.800,16.487
0.000,0.000,0.000,4.000,549.200,17.205
0.000,0.000,0.000,4.250,553.200,17.853
0.000,0.000,0.000,4.500,549.600,18.518
0.000,0.000,0.000,4.750,556.400,19.284
0.000,0.000,0.000,5.000,549.500,20.034
0.000,0.000,0.000,5.250,529.500,20.871
0.000,0.000,0.000,5.500,536.300,21.528
0.000,0.000,0.000,5.750,531.500,22.147
0.000,0.000,0.000,6.000,527.300,22.861
0.000,0.000,0.000,6.250,524.500,23.600
0.000,0.000,0.000,6.500,522.600,24.342
0.000,0.000,0.000,6.750,513.600,24.939
0.000,0.000,0.000,7.000,513.900,25.693
0.000,0.000,0.000,7.250,502.100,26.409
0.000,0.000,0.000,7.500,494.900,27.084
0.000,0.000,0.000,7.750,494.900,27.250
0.000,0.000,0.000,8.000,486.800,27.551
0.000,0.000,0.000,8.250,487.900,27.707
0.000,0.000,0.000,8.500,487.900,28.024
0.000,0.000,0.000,8.750,487.000,28.179
0.000,0.000,0.000,9.000,487.000,28.494
0.000,0.000,0.000,9.250,486.600,28.826
0.000,0.000,0.000,9.500,486.600,28.988
0.000,0.000,0.000,9.750,480.400,29.323
0.000,0.000,0.000,10.000,482.900,29.508
0.000,0.000,0.000,10.250,482.900,29.674
0.000,0.000,0.000,10.500,478.600,30.002
0.000,0.000,0.000,10.750,478.600,30.324
0.000,0.000,0.000,11.000,474.600,30.480
0.000,0.000,0.000,11.250,477.600,30.821
0.000,0.000,0.000,11.500,477.600,30.980
