z_pos,x_pos,y_pos,time,flux,err_byte
0.000,76.200,0.000,0.250,537.100,6.653
0.000,76.200,0.000,0.500,536.900,6.903
0.000,76.200,0.000,0.750,537.200,7.154
0.000,76.200,0.000,1.000,537.200,7.403
0.000,76.200,0.000,1.250,537.100,7.652
0.000,76.200,0.000,1.500,537.100,7.902
0.000,76.200,0.000,1.750,536.900,8.152
0.000,76.200,0.000,2.000,536.900,8.402
0.000,76.200,0.000,2.250,536.800,8.653
0.000,76.200,0.000,2.500,537.300,8.901
0.000,76.200,0.000,2.750,537.300,9.151
0.000,76.200,0.000,3.000,537.400,9.400
0.000,76.200,0.000,3.250,537.400,9.650
0.000,76.200,0.000,3.500,536.900,9.900
0.000,76.200,0.000,3.750,544.500,10.150
0.000,76.200,0.000,4.000,544.500,10.400
0.000,76.200,0.000,4.250,571.400,10.649
0.000,76.200,0.000,4.500,571.400,10.900
0.000,76.200,0.000,4.750,601.200,11.150
0.000,76.200,0.000,5.000,633.000,11.401
0.000,76.200,0.000,5.250,633.000,11.650
0.000,76.200,0.000,5.500,666.800,11.900
0.000,76.200,0.000,5.750,666.800,12.150
0.000,76.200,0.000,6.000,703.500,12.400
0.000,76.200,0.000,6.250,741.900,12.650
0.000,76.200,0.000,6.500,741.900,12.900
0.000,76.200,0.000,6.750,782.900,13.150
0.000,76.200,0.000,7.000,782.900,13.402
0.000,76.200,0.000,7.250,827.100,13.653
0.000,76.200,0.000,7.500,874.100,13.903
0.000,76.200,0.000,7.750,874.100,14.153
0.000,76.200,0.000,8.000,924.100,14.403
0.000,76.200,0.000,8.250,924.100,14.653
0.000,76.200,0.000,8.500,977.800,14.903
0.000,76.200,0.000,8.750,1035.200,15.152
0.000,76.200,0.000,9.000,1035.200,15.402
0.000,76.200,0.000,9.250,1096.600,15.652
0.000,76.200,0.000,9.500,1096.600,15.902
0.000,76.200,0.000,9.750,1162.400,16.153
0.000,76.200,0.000,10.000,1162.400,16.403
0.000,76.200,0.000,10.250,1233.100,16.653
0.000,76.200,0.000,10.500,1309.200,16.903
0.000,76.200,0.000,10.750,1309.200,17.153
0.000,76.200,0.000,11.000,1390.300,17.402
0.000,76.200,0.000,11.250,1390.300,17.652
0.000,76.200,0.000,11.500,1477.700,17.902
0.000,76.200,0.000,11.750,1571.500,18.152
0.000,76.200,0.000,12.000,1571.500,18.402
0.000,76.200,0.000,12.250,1672.300,18.652
0.000,76.200,0.000,12.500,1672.300,18.903
0.000,76.200,0.000,12.750,1780.100,19.154
0.000,76.200,0.000,13.000,1896.100,19.404
0.000,76.200,0.000,13.250,1896.100,19.655
0.000,76.200,0.000,13.500,2021.600,19.903
0.000,76.200,0.000,13.750,2021.600,20.152
0.000,76.200,0.000,14.000,2157.400,20.402
0.000,76.200,0.000,14.250,2303.200,20.652
0.000,76.200,0.000,14.500,2303.200,20.900
0.000,76.200,0.000,14.750,2461.100,21.151
0.000,76.200,0.000,15.000,2461.100,21.401
0.000,76.200,0.000,15.250,2631.400,21.650
0.000,76.200,0.000,15.500,2816.400,21.902
0.000,76.200,0.000,15.750,2816.400,22.152
0.000,76.200,0.000,16.000,3014.500,22.402
0.000,76.200,0.000,16.250,3014.500,22.652
0.000,76.200,0.000,16.500,3228.900,22.902
0.000,76.200,0.000,16.750,3461.300,23.151
0.000,76.200,0.000,17.000,3461.300,23.400
0.000,76.200,0.000,17.250,3713.300,23.650
0.000,76.200,0.000,17.500,3713.300,23.899
0.000,76.200,0.000,17.750,3985.800,24.148
0.000,76.200,0.000,18.000,3985.800,24.399
0.000,76.200,0.000,18.250,4281.300,24.649
0.000,76.200,0.000,18.500,4601.700,24.900
0.000,76.200,0.000,18.750,4601.700,25.150
0.000,76.200,0.000,19.000,4949.900,25.402
0.000,76.200,0.000,19.250,4949.900,25.651
0.000,76.200,0.000,19.500,5327.900,25.901
0.000,76.200,0.000,19.750,5737.200,26.150
0.000,76.200,0.000,20.000,5737.200,26.400
0.000,76.200,0.000,20.250,6184.900,26.651
0.000,76.200,0.000,20.500,6184.900,26.902
0.000,76.200,0.000,20.750,6674.000,27.153
0.000,76.200,0.000,21.000,7204.300,27.402
0.000,76.200,0.000,21.250,7204.300,27.653
0.000,76.200,0.000,21.500,7784.400,27.904
0.000,76.200,0.000,21.750,7784.400,28.153
0.000,76.200,0.000,22.000,8416.400,28.403
0.000,76.200,0.000,22.250,9106.500,28.654
0.000,76.200,0.000,22.500,9106.500,28.903
0.000,76.200,0.000,22.750,9855.700,29.153
0.000,76.200,0.000,23.000,9855.700,29.403
0.000,76.200,0.000,23.250,10673.100,29.653
0.000,76.200,0.000,23.500,10673.100,29.903
0.000,76.200,0.000,23.750,11561.600,30.153
0.000,76.200,0.000,24.000,12523.400,30.403
0.000,76.200,0.000,24.250,12523.400,30.653
0.000,76.200,0.000,24.500,13561.700,30.903
0.000,76.200,0.000,24.750,13561.700,31.153
0.000,76.200,0.000,25.000,14674.900,31.404
0.000,76.200,0.000,25.250,15870.000,31.653
0.000,76.200,0.000,25.500,15870.000,31.903
