z_pos,x_pos,y_pos,time,flux,err_byte
0.000,76.200,0.000,0.250,27061.000,2.856
0.000,76.200,0.000,0.500,27061.000,3.107
0.000,76.200,0.000,0.750,27060.000,3.358
0.000,76.200,0.000,1.000,27060.000,3.608
0.000,76.200,0.000,1.250,27061.000,3.857
0.000,76.200,0.000,1.500,27061.000,4.108
0.000,76.200,0.000,1.750,27061.000,4.357
0.000,76.200,0.000,2.000,27062.000,4.607
0.000,76.200,0.000,2.250,27062.000,4.857
0.000,76.200,0.000,2.500,27060.000,5.107
0.000,76.200,0.000,2.750,27060.000,5.356
0.000,76.200,0.000,3.000,27057.000,5.606
0.000,76.200,0.000,3.250,26427.000,5.856
0.000,76.200,0.000,3.500,26427.000,6.106
0.000,76.200,0.000,3.750,25074.000,6.356
0.000,76.200,0.000,4.000,25074.000,6.606
0.000,76.200,0.000,4.250,23684.000,6.855
0.000,76.200,0.000,4.500,22301.000,7.105
0.000,76.200,0.000,4.750,22301.000,7.354
0.000,76.200,0.000,5.000,20936.000,7.603
0.000,76.200,0.000,5.250,20936.000,7.852
0.000,76.200,0.000,5.500,19612.000,8.102
0.000,76.200,0.000,5.750,19612.000,8.352
0.000,76.200,0.000,6.000,18339.000,8.602
0.000,76.200,0.000,6.250,1711.700,8.852
0.000,76.200,0.000,6.500,1711.700,9.102
0.000,76.200,0.000,6.750,15795.300,9.352
0.000,76.200,0.000,7.000,15795.300,9.603
0.000,76.200,0.000,7.250,14693.100,9.852
0.000,76.200,0.000,7.500,13652.900,10.101
0.000,76.200,0.000,7.750,13652.900,10.351
0.000,76.200,0.000,8.000,12673.100,10.600
0.000,76.200,0.000,8.250,12673.100,10.851
0.000,76.200,0.000,8.500,11753.900,11.100
0.000,76.200,0.000,8.750,10898.700,11.351
0.000,76.200,0.000,9.000,10898.700,11.601
0.000,76.200,0.000,9.250,10103.300,11.851
0.000,76.200,0.000,9.500,10103.300,12.100
0.000,76.200,0.000,9.750,9366.800,12.350
0.000,76.200,0.000,10.000,8682.800,12.600
0.000,76.200,0.000,10.250,8682.800,12.849
0.000,76.200,0.000,10.500,8049.500,13.100
0.000,76.200,0.000,10.750,8049.500,13.349
0.000,76.200,0.000,11.000,7466.200,13.599
0.000,76.200,0.000,11.250,7466.200,13.848
0.000,76.200,0.000,11.500,6926.900,14.098
0.000,76.200,0.000,11.750,6429.200,14.347
0.000,76.200,0.000,12.000,6429.200,14.597
0.000,76.200,0.000,12.250,5973.000,14.848
0.000,76.200,0.000,12.500,5973.000,15.098
0.000,76.200,0.000,12.750,5549.300,15.348
0.000,76.200,0.000,13.000,5157.800,15.597
0.000,76.200,0.000,13.250,5157.800,15.849
0.000,76.200,0.000,13.500,4798.700,16.097
0.000,76.200,0.000,13.750,4798.700,16.348
0.000,76.200,0.000,14.000,4467.500,16.598
0.000,76.200,0.000,14.250,4159.800,16.848
0.000,76.200,0.000,14.500,4159.800,17.098
0.000,76.200,0.000,14.750,3874.100,17.349
0.000,76.200,0.000,15.000,3874.100,17.599
0.000,76.200,0.000,15.250,3610.800,17.848
0.000,76.200,0.000,15.500,3368.200,18.098
0.000,76.200,0.000,15.750,3368.200,18.348
0.000,76.200,0.000,16.000,3143.800,18.599
0.000,76.200,0.000,16.250,3143.800,18.849
0.000,76.200,0.000,16.500,2935.200,19.099
0.000,76.200,0.000,16.750,2742.500,19.350
0.000,76.200,0.000,17.000,2742.500,19.600
0.000,76.200,0.000,17.250,2564.200,19.849
0.000,76.200,0.000,17.500,2564.200,20.099
0.000,76.200,0.000,17.750,2398.800,20.350
0.000,76.200,0.000,18.000,2398.800,20.601
0.000,76.200,0.000,18.250,2245.300,20.851
0.000,76.200,0.000,18.500,2103.200,21.101
0.000,76.200,0.000,18.750,2103.200,21.350
0.000,76.200,0.000,19.000,1971.500,21.601
0.000,76.200,0.000,19.250,1971.500,21.851
0.000,76.200,0.000,19.500,1848.500,22.100
0.000,76.200,0.000,19.750,1735.700,22.350
0.000,76.200,0.000,20.000,1735.700,22.601
0.000,76.200,0.000,20.250,1629.900,22.850
0.000,76.200,0.000,20.500,1629.900,23.100
0.000,76.200,0.000,20.750,1531.000,23.350
0.000,76.200,0.000,21.000,1439.000,23.600
0.000,76.200,0.000,21.250,1439.000,23.850
0.000,76.200,0.000,21.500,1354.300,24.101
0.000,76.200,0.000,21.750,1354.300,24.350
0.000,76.200,0.000,22.000,1275.100,24.600
0.000,76.200,0.000,22.250,1200.500,24.850
0.000,76.200,0.000,22.500,1200.500,25.101
0.000,76.200,0.000,22.750,1131.500,25.350
0.000,76.200,0.000,23.000,1131.500,25.600
0.000,76.200,0.000,23.250,1067.900,25.850
0.000,76.200,0.000,23.500,1008.000,26.100
0.000,76.200,0.000,23.750,1008.000,26.351
0.000,76.200,0.000,24.000,951.400,26.600
0.000,76.200,0.000,24.250,951.400,26.849
0.000,76.200,0.000,24.500,899.000,27.099
0.000,76.200,0.000,24.750,850.400,27.350
0.000,76.200,0.000,25.000,850.400,27.599
0.000,76.200,0.000,25.250,804.400,27.849
0.000,76.200,0.000,25.500,804.400,28.099
0.000,76.200,0.000,25.750,761.900,28.349
0.000,76.200,0.000,26.000,761.900,28.599
0.000,76.200,0.000,26.250,721.200,28.848
0.000,76.200,0.000,26.500,683.700,29.098
0.000,76.200,0.000,26.750,683.700,29.347
0.000,76.200,0.000,27.000,648.200,29.596
0.000,76.200,0.000,27.250,648.200,29.846
0.000,76.200,0.000,27.500,615.100,30.096
0.000,76.200,0.000,27.750,584.500,30.346
0.000,76.200,0.000,28.000,584.500,30.596
0.000,76.200,0.000,28.250,562.500,30.846
0.000,76.200,0.000,28.500,562.500,31.095
0.000,76.200,0.000,28.750,561.100,31.347
0.000,76.200,0.000,29.000,560.700,31.596
0.000,76.200,0.000,29.250,560.700,31.845
0.000,76.200,0.000,29.500,561.400,32.094
0.000,76.200,0.000,29.750,561.400,32.344
0.000,76.200,0.000,30.000,561.300,32.595
