z_pos,x_pos,y_pos,time,flux,err_byte
0.000,76.200,0.000,0.250,27060.000,5.327
0.000,76.200,0.000,0.500,27061.000,5.578
0.000,76.200,0.000,0.750,27061.000,5.828
0.000,76.200,0.000,1.000,27061.000,6.077
0.000,76.200,0.000,1.250,27061.000,6.327
0.000,76.200,0.000,1.500,27061.000,6.576
0.000,76.200,0.000,1.750,27061.000,6.827
0.000,76.200,0.000,2.000,27047.000,7.077
0.000,76.200,0.000,2.250,27047.000,7.326
0.000,76.200,0.000,2.500,26305.000,7.577
0.000,76.200,0.000,2.750,26305.000,7.828
0.000,76.200,0.000,3.000,24938.000,8.078
0.000,76.200,0.000,3.250,23548.000,8.327
0.000,76.200,0.000,3.500,23548.000,8.577
0.000,76.200,0.000,3.750,22166.000,8.826
0.000,76.200,0.000,4.000,22166.000,9.077
0.000,76.200,0.000,4.250,20806.000,9.325
0.000,76.200,0.000,4.500,20806.000,9.575
0.000,76.200,0.000,4.750,19486.000,9.824
0.000,76.200,0.000,5.000,18219.000,10.074
0.000,76.200,0.000,5.250,18219.000,10.325
0.000,76.200,0.000,5.500,1700.200,10.574
0.000,76.200,0.000,5.750,1700.200,10.824
0.000,76.200,0.000,6.000,15687.700,11.075
0.000,76.200,0.000,6.250,14590.500,11.325
0.000,76.200,0.000,6.500,14590.500,11.573
0.000,76.200,0.000,6.750,13555.700,11.824
0.000,76.200,0.000,7.000,13555.700,12.074
0.000,76.200,0.000,7.250,12582.700,12.322
0.000,76.200,0.000,7.500,11670.100,12.571
0.000,76.200,0.000,7.750,11670.100,12.822
0.000,76.200,0.000,8.000,10820.700,13.071
0.000,76.200,0.000,8.250,10820.700,13.323
0.000,76.200,0.000,8.500,10031.100,13.572
0.000,76.200,0.000,8.750,10031.100,13.822
0.000,76.200,0.000,9.000,9300.300,14.071
0.000,76.200,0.000,9.250,8621.400,14.321
0.000,76.200,0.000,9.500,8621.400,14.572
0.000,76.200,0.000,9.750,7993.000,14.822
0.000,76.200,0.000,10.000,7993.000,15.071
0.000,76.200,0.000,10.250,7412.900,15.320
0.000,76.200,0.000,10.500,6878.200,15.570
0.000,76.200,0.000,10.750,6878.200,15.820
0.000,76.200,0.000,11.000,6385.100,16.070
0.000,76.200,0.000,11.250,6385.100,16.320
0.000,76.200,0.000,11.500,5930.800,16.569
0.000,76.200,0.000,11.750,5511.100,16.819
0.000,76.200,0.000,12.000,5511.100,17.069
0.000,76.200,0.000,12.250,5122.500,17.320
0.000,76.200,0.000,12.500,5122.500,17.570
0.000,76.200,0.000,12.750,4766.100,17.819
0.000,76.200,0.000,13.000,4437.500,18.071
0.000,76.200,0.000,13.250,4437.500,18.320
0.000,76.200,0.000,13.500,4131.900,18.570
0.000,76.200,0.000,13.750,4131.900,18.820
0.000,76.200,0.000,14.000,3848.900,19.069
0.000,76.200,0.000,14.250,3587.300,19.319
0.000,76.200,0.000,14.500,3587.300,19.568
0.000,76.200,0.000,14.750,3346.800,19.817
