z_pos,x_pos,y_pos,time,flux,err_byte
0.000,76.200,0.000,0.250,26738.000,8.495
0.000,76.200,0.000,0.500,26738.000,8.745
0.000,76.200,0.000,0.750,26738.000,8.995
0.000,76.200,0.000,1.000,26738.000,9.244
0.000,76.200,0.000,1.250,26738.000,9.495
0.000,76.200,0.000,1.500,26739.000,9.745
0.000,76.200,0.000,1.750,26739.000,9.994
0.000,76.200,0.000,2.000,26738.000,10.245
0.000,76.200,0.000,2.250,26738.000,10.494
0.000,76.200,0.000,2.500,26738.000,10.744
0.000,76.200,0.000,2.750,26738.000,10.993
0.000,76.200,0.000,3.000,26738.000,11.242
0.000,76.200,0.000,3.250,26737.000,11.492
0.000,76.200,0.000,3.500,26737.000,11.742
0.000,76.200,0.000,3.750,26327.000,11.993
0.000,76.200,0.000,4.000,25114.000,12.243
0.000,76.200,0.000,4.250,25114.000,12.494
0.000,76.200,0.000,4.500,23836.000,12.743
0.000,76.200,0.000,4.750,23836.000,12.993
0.000,76.200,0.000,5.000,22552.000,13.242
0.000,76.200,0.000,5.250,21276.000,13.492
0.000,76.200,0.000,5.500,21276.000,13.743
0.000,76.200,0.000,5.750,20028.000,13.993
0.000,76.200,0.000,6.000,20028.000,14.242
0.000,76.200,0.000,6.250,18816.000,14.492
0.000,76.200,0.000,6.500,1764.500,14.743
0.000,76.200,0.000,6.750,1764.500,14.994
0.000,76.200,0.000,7.000,16358.500,15.245
0.000,76.200,0.000,7.250,16358.500,15.495
0.000,76.200,0.000,7.500,15284.400,15.745
0.000,76.200,0.000,7.750,15284.400,15.995
0.000,76.200,0.000,8.000,14258.200,16.245
0.000,76.200,0.000,8.250,13284.500,16.494
0.000,76.200,0.000,8.500,13284.500,16.743
0.000,76.200,0.000,8.750,12364.100,16.992
0.000,76.200,0.000,9.000,12364.100,17.242
0.000,76.200,0.000,9.250,11495.900,17.492
0.000,76.200,0.000,9.500,10686.800,17.742
0.000,76.200,0.000,9.750,10686.800,17.992
0.000,76.200,0.000,10.000,9927.600,18.241
0.000,76.200,0.000,10.250,9927.600,18.491
0.000,76.200,0.000,10.500,9221.700,18.741
0.000,76.200,0.000,10.750,8563.300,18.991
0.000,76.200,0.000,11.000,8563.300,19.241
0.000,76.200,0.000,11.250,7954.000,19.492
0.000,76.200,0.000,11.500,7954.000,19.742
0.000,76.200,0.000,11.750,7386.200,19.993
0.000,76.200,0.000,12.000,7386.200,20.242
0.000,76.200,0.000,12.250,6859.200,20.493
0.000,76.200,0.000,12.500,6372.500,20.743
0.000,76.200,0.000,12.750,6372.500,20.993
0.000,76.200,0.000,13.000,5923.600,21.243
0.000,76.200,0.000,13.250,5923.600,21.492
0.000,76.200,0.000,13.500,5508.200,21.741
0.000,76.200,0.000,13.750,5123.800,21.991
0.000,76.200,0.000,14.000,5123.800,22.240
0.000,76.200,0.000,14.250,4768.600,22.489
0.000,76.200,0.000,14.500,4768.600,22.739
0.000,76.200,0.000,14.750,4438.800,22.989
0.000,76.200,0.000,15.000,4134.300,23.239
0.000,76.200,0.000,15.250,4134.300,23.488
0.000,76.200,0.000,15.500,3851.800,23.738
0.000,76.200,0.000,15.750,3851.800,23.988
0.000,76.200,0.000,16.000,3590.700,24.238
0.000,76.200,0.000,16.250,3349.600,24.487
0.000,76.200,0.000,16.500,3349.600,24.736
0.000,76.200,0.000,16.750,3126.100,24.985
0.000,76.200,0.000,17.000,3126.100,25.234
0.000,76.200,0.000,17.250,2918.500,25.484
0.000,76.200,0.000,17.500,2726.700,25.736
0.000,76.200,0.000,17.750,2726.700,25.986
0.000,76.200,0.000,18.000,2549.200,26.237
0.000,76.200,0.000,18.250,2549.200,26.487
0.000,76.200,0.000,18.500,2385.200,26.737
0.000,76.200,0.000,18.750,2232.200,26.988
0.000,76.200,0.000,19.000,2232.200,27.238
0.000,76.200,0.000,19.250,2090.900,27.488
0.000,76.200,0.000,19.500,2090.900,27.738
0.000,76.200,0.000,19.750,1960.500,27.987
0.000,76.200,0.000,20.000,1960.500,28.236
