z_pos,x_pos,y_pos,time,flux,err_byte,,,
0,0,0,1,117.9,6.696,,,Notes
0.3,0,0,2,117.8,7.696,,,first 50 with movement 1s delay
0.6,0,0,3,117.9,8.696,,,
0.9,0,0,4,117.8,9.696,,,
1.2,0,0,5,118.4,10.696,,,
1.5,0,0,6,119.7,11.697,,,
1.8,0,0,7,121,12.697,,,16.86248278
2.1,0,0,8,122.4,13.697,,,0.684399225
2.4,0,0,9,123.4,14.697,,,
2.7,0,0,10,125.3,15.699,,,
3,0,0,11,126.7,16.698,,,
3.3,0,0,12,127.6,17.698,,,
3.6,0,0,13,129.6,18.699,,,
3.9,0,0,14,130.9,19.698,,,
4.2,0,0,15,132.1,20.697,,,
4.5,0,0,16,134,21.696,,,
4.8,0,0,17,135.4,22.697,,,
5.1,0,0,18,136.5,23.697,,,
5.4,0,0,19,138.5,24.697,,,
5.7,0,0,20,139.9,25.697,,,
6,0,0,21,141.2,26.697,,,
6.3,0,0,22,143.4,27.696,,,
6.6,0,0,23,144.7,28.695,,,
6.9,0,0,24,146.1,29.697,,,
7.2,0,0,25,148,30.699,,,
7.5,0,0,26,149.5,31.699,,,
7.8,0,0,27,150.7,32.699,,,
8.1,0,0,28,153,33.698,,,
8.4,0,0,29,154.4,34.697,,,
8.7,0,0,30,155.8,35.698,,,
9,0,0,31,158,36.698,,,
9.3,0,0,32,159.3,37.699,,,
9.6,0,0,33,160.9,38.698,,,
9.9,0,0,34,162.9,39.698,,,
10.2,0,0,35,164.5,40.698,,,
10.5,0,0,36,166.1,41.698,,,
10.8,0,0,37,168.2,42.697,,,
11.1,0,0,38,169.7,43.697,,,
11.4,0,0,39,171.2,44.698,,,
11.7,0,0,40,173.4,45.697,,,
12,0,0,41,175.1,46.697,,,
12.3,0,0,42,176.7,47.697,,,
12.6,0,0,43,178.8,48.697,,,
12.9,0,0,44,180.2,49.697,,,
13.2,0,0,45,180.3,50.697,,,
13.5,0,0,46,180.3,51.697,,,
13.8,0,0,47,180.4,52.696,,,
14.1,0,0,48,180.3,53.697,,,
14.4,0,0,49,180,54.698,,,
14.7,0,0,50,180.2,55.698,,,
15,0,0,2,154.1,9.804,*,*,
15,0,0,2.25,154,9.961,,,
15,0,0,2.375,154,10.217,,,
15,0,0,2.5,154,10.336,,,
15,0,0,2.625,154.2,10.463,,,
15,0,0,2.75,154.2,10.589,,,
15,0,0,2.875,154.2,10.716,,,
15,0,0,3,154.1,10.839,,,
15,0,0,3.25,154.2,10.955,,,
15,0,0,3.375,154.2,11.212,,,
15,0,0,3.5,154.3,11.337,,,
15,0,0,3.625,154.3,11.464,,,
15,0,0,3.75,154.3,11.594,,,
15,0,0,3.875,154.3,11.709,,,
15,0,0,4,154.2,11.837,,,
15,0,0,4.25,154.2,11.958,,,
15,0,0,4.375,153.9,12.213,,,
15,0,0,4.5,153.9,12.351,,,
15,0,0,4.625,153.9,12.458,,,
15,0,0,4.75,153.9,12.58,,,
15,0,0,4.875,154.2,12.717,,,
15,0,0,5,154,12.851,,,
15,0,0,5.25,154.2,12.978,,,
15,0,0,5.375,154.2,13.207,,,
15,0,0,5.5,154.2,13.339,,,
15,0,0,5.625,154.1,13.462,,,
15,0,0,5.75,154.1,13.585,,,
15,0,0,5.875,154.1,13.723,,,
15,0,0,6,154.1,13.839,,,
15,0,0,6.25,154.1,13.972,,,
15,0,0,6.375,154.1,14.216,,,
15,0,0,6.5,154.1,14.349,,,
15,0,0,6.625,154.1,14.453,,,
15,0,0,6.75,154.1,14.583,,,
15,0,0,6.875,154.1,14.71,,,
15,0,0,7,154.1,14.842,,,
15,0,0,7.25,154.1,14.968,,,
15,0,0,7.375,154.1,15.273,,,
15,0,0,7.5,154.1,15.345,,,
15,0,0,7.625,154.1,15.472,,,
15,0,0,7.75,154.1,15.593,,,
15,0,0,7.875,154,15.738,,,
15,0,0,8,154,15.828,,,
15,0,0,8.25,154,15.958,,,
15,0,0,8.375,154,16.211,,,
15,0,0,8.5,154,16.345,,,
15,0,0,8.625,154,16.48,,,
15,0,0,8.75,154.1,16.582,,,
15,0,0,8.875,154.1,16.708,,,
15,0,0,9,154,16.835,,,
15,0,0,9.25,154.2,16.967,,,
15,0,0,9.375,154.2,17.197,,,
15,0,0,9.5,154.2,17.336,,,
15,0,0,9.625,154.1,17.459,,,
15,0,0,9.75,154.1,17.583,,,
15,0,0,9.875,154.1,17.718,,,
15,0,0,10,154.1,17.844,,,
15,0,0,10.25,154.1,17.956,,,
15,0,0,10.375,154.1,18.205,,,
15,0,0,10.5,154.1,18.341,,,
15,0,0,10.625,154.1,18.468,,,
15,0,0,10.75,154.1,18.58,,,
15,0,0,10.875,154.1,18.709,,,
15,0,0,11,154.1,18.839,,,
15,0,0,11.25,154.1,18.98,,,
15,0,0,11.375,154.1,19.224,,,
15,0,0,11.5,154.1,19.338,,,
15,0,0,11.625,154.1,19.458,,,
15,0,0,11.75,154,19.576,,,
15,0,0,11.875,154,19.723,,,
15,0,0,12,154,19.845,,,
15,0,0,12.25,154,19.972,,,
15,0,0,12.375,154,20.209,,,
15,0,0,12.5,154,20.332,,,
15,0,0,12.625,153.9,20.467,,,
15,0,0,12.75,153.9,20.582,,,
15,0,0,12.875,153.9,20.701,,,
15,0,0,13,153.9,20.83,,,
15,0,0,13.25,154,20.965,,,
15,0,0,13.375,154,21.218,,,
15,0,0,13.5,154,21.346,,,
15,0,0,13.625,154,21.455,,,
15,0,0,13.75,154,21.576,,,
15,0,0,13.875,153.9,21.713,,,
15,0,0,14,153.9,21.849,,,
15,0,0,14.25,153.9,21.971,,,
15,0,0,14.375,153.9,22.204,,,
15,0,0,14.5,153.9,22.34,,,
15,0,0,14.625,153.9,22.469,,,
15,0,0,14.75,153.8,22.593,,,
15,0,0,14.875,153.8,22.719,,,
15,0,0,15,153.8,22.831,,,
15,0,0,15.25,154,22.955,,,
15,0,0,15.375,154,23.216,,,
15,0,0,15.5,154,23.341,,,
15,0,0,15.625,153.7,23.451,,,
15,0,0,15.75,153.7,23.574,,,
15,0,0,15.875,153.7,23.709,,,
15,0,0,16,153.8,23.835,,,
15,0,0,1,152.2,1.648,*,*,
15.3,0,0,1.25,152.2,1.818,,0.090313707,
15.6,0,0,1.375,152.4,2.042,,0.009031371,
15.9,0,0,1.5,152.4,2.172,,,
16.2,0,0,1.625,152.4,2.299,,,
16.5,0,0,1.75,152.4,2.434,,,
16.8,0,0,1.875,152.2,2.541,,,
17.1,0,0,2,152.3,2.665,,,
17.4,0,0,2.25,152.3,2.795,,,
17.7,0,0,2.375,152.3,3.045,,,
18,0,0,2.5,152.3,3.19,,,
18.3,0,0,2.625,152.1,3.29,,,
18.6,0,0,2.75,152.1,3.415,,,
18.9,0,0,2.875,152.1,3.541,,,
19.2,0,0,3,152.1,3.674,,,
19.5,0,0,3.25,152.1,3.805,,,
19.8,0,0,3.375,152.1,4.038,,,
20.1,0,0,3.5,152.2,4.165,,,
20.4,0,0,3.625,152.2,4.298,,,
20.7,0,0,3.75,152.2,4.413,,,
21,0,0,3.875,152.2,4.555,,,
21.3,0,0,4,152.1,4.666,,,
21.6,0,0,4.25,152.1,4.792,,,
21.9,0,0,4.375,152.2,5.042,,,
22.2,0,0,4.5,152.2,5.17,,,
22.5,0,0,4.625,152.2,5.3,,,
22.8,0,0,4.75,152.2,5.404,,,
23.1,0,0,4.875,152.1,5.558,,,
23.4,0,0,5,152.1,5.672,,,
23.7,0,0,5.25,152.2,5.799,,,
24,0,0,5.375,152.2,6.036,,,
24.3,0,0,5.5,152.2,6.169,,,
24.6,0,0,5.625,152.2,6.291,,,
24.9,0,0,5.75,152.1,6.419,,,
25.2,0,0,5.875,152.1,6.547,,,
25.5,0,0,6,152.1,6.674,,,
25.8,0,0,6.25,152.1,6.791,,,
26.1,0,0,6.375,152.1,7.039,,,
26.4,0,0,6.5,152.1,7.173,,,
26.7,0,0,6.625,152.1,7.297,,,
27,0,0,6.75,152.1,7.407,,,
27.3,0,0,6.875,152.1,7.544,,,
27.6,0,0,7,152.1,7.666,,,
27.9,0,0,7.25,152.3,7.792,,,
28.2,0,0,7.375,152.2,8.052,,,
28.5,0,0,7.5,152.2,8.172,,,
28.8,0,0,7.625,152.2,8.291,,,
29.1,0,0,7.75,152.2,8.418,,,
29.4,0,0,7.875,152.1,8.546,,,
29.7,0,0,8,152.1,8.678,,,
30,0,0,8.25,152.2,8.806,,,
30.3,0,0,8.375,152.2,9.041,,,
30.6,0,0,8.5,152.2,9.168,,,
30.9,0,0,8.625,152.2,9.299,,,
31.2,0,0,8.75,152.3,9.425,,,
31.5,0,0,8.875,152.3,9.542,,,
31.8,0,0,9,152.2,9.678,,,
32.1,0,0,9.25,152.2,9.798,,,
32.4,0,0,9.375,152.2,10.045,,,
32.7,0,0,9.5,152.2,10.163,,,
33,0,0,9.625,152.1,10.291,,,
33.3,0,0,9.75,152.1,10.416,,,
33.6,0,0,9.875,152.1,10.55,,,
33.9,0,0,10,152.1,10.678,,,
34.2,0,0,10.25,152,10.81,,,
34.5,0,0,10.375,152,11.036,,,
34.8,0,0,10.5,152.2,11.207,,,
35.1,0,0,10.625,152.2,11.315,,,
35.4,0,0,10.75,152.2,11.421,,,
35.7,0,0,10.875,152.2,11.559,,,
36,0,0,11,152.1,11.664,,,
36.3,0,0,11.25,152.2,11.793,,,
36.6,0,0,11.375,152,12.044,,,
36.9,0,0,11.5,152,12.184,,,
37.2,0,0,11.625,152,12.288,,,
37.5,0,0,11.75,152.1,12.416,,,
37.8,0,0,11.875,152.1,12.546,,,
38.1,0,0,12,152,12.674,,,
38.4,0,0,12.25,152.1,12.802,,,
38.7,0,0,12.375,152.1,13.035,,,
39,0,0,12.5,152.1,13.168,,,
39.3,0,0,12.625,152.2,13.302,,,
39.6,0,0,12.75,152.2,13.417,,,
39.9,0,0,12.875,152.2,13.551,,,
40.2,0,0,13,152.1,13.667,,,
40.5,0,0,13.25,152.1,13.791,,,
40.8,0,0,13.375,152.1,14.05,,,
41.1,0,0,13.5,152.1,14.184,,,
41.4,0,0,13.625,152.1,14.313,,,
41.7,0,0,13.75,152.1,14.408,,,
42,0,0,13.875,152.2,14.545,,,
42.3,0,0,14,152.1,14.672,,,
42.6,0,0,14.25,152.2,14.802,,,
42.9,0,0,14.375,152.3,15.038,,,
43.2,0,0,14.5,152.3,15.166,,,
43.5,0,0,14.625,152.3,15.294,,,
43.8,0,0,14.75,152.2,15.417,,,
44.1,0,0,14.875,152.2,15.556,,,
44.4,0,0,15,152.2,15.679,,,
44.7,0,0,15.25,152,15.79,,,
45,0,0,1,156.9,1.197,,,
45.3,0,0,1.25,157.1,1.263,,,
45.6,0,0,1.375,157.1,1.521,,,
45.9,0,0,1.5,157.1,1.633,,,
46.2,0,0,1.625,157,1.762,,,
46.5,0,0,1.75,157,1.89,,,
46.8,0,0,1.875,157,2.023,,,
47.1,0,0,2,156.9,2.145,,,
47.4,0,0,2.25,156.3,2.275,,,
