z_pos	x_pos	y_pos	time	flux	err_byte	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9
0.0	0	0	1.0	120.8	1.722			1 s 50 points	first file
0.3	0	0	1.5	120.7	2.222			.5s 100 points	
0.6	0	0	2.0	120.4	2.722			.25 200	
0.9	0	0	2.5	119.7	3.222			.125 400	
1.2	0	0	3.0	119.5	3.722			.1 500	
1.5	0	0	3.5	118.9	4.223			.15 333	broke
1.8	0	0	4.0	118.8	4.723				
2.1	0	0	4.5	117.8	5.223				
2.4	0	0	5.0	117.9	5.723				
2.7	0	0	5.5	117.8	6.223				
3.0	0	0	6.0	117.5	6.724				
3.3	0	0	6.5	118.0	7.223				
3.6	0	0	7.0	118.5	7.723				
3.9	0	0	7.5	119.4	8.222				
4.2	0	0	8.0	119.5	8.723				
4.5	0	0	8.5	120.0	9.223				
4.8	0	0	9.0	120.3	9.723				
5.1	0	0	9.5	121.8	10.223				
5.4	0	0	10.0	121.7	10.724				
5.7	0	0	10.5	122.2	11.225				
6.0	0	0	11.0	123.2	11.725				
6.3	0	0	11.5	124.9	12.225				
6.6	0	0	12.0	125.2	12.726				
6.9	0	0	12.5	126.0	13.226				
7.2	0	0	13.0	125.9	13.727				
7.5	0	0	13.5	126.9	14.228				
7.8	0	0	14.0	127.6	14.728				
8.1	0	0	14.5	128.6	15.227				
8.4	0	0	15.0	129.2	15.728				
8.7	0	0	15.5	130.5	16.229				
9.0	0	0	16.0	130.8	16.729				
9.3	0	0	16.5	132.3	17.228				
9.6	0	0	17.0	132.3	17.727				
9.9	0	0	17.5	131.6	18.227				
10.2	0	0	18.0	131.6	18.727				
10.5	0	0	18.5	132.5	19.226				
10.8	0	0	19.0	133.0	19.727				
11.1	0	0	19.5	134.8	20.225				
11.4	0	0	20.0	135.0	20.724				
11.7	0	0	20.5	136.5	21.223				
12.0	0	0	21.0	137.0	21.723				
12.3	0	0	21.5	137.5	22.225				
12.6	0	0	22.0	137.8	22.726				
12.9	0	0	22.5	138.8	23.227				
13.2	0	0	23.0	139.8	23.726				
13.5	0	0	23.5	141.1	24.226				
13.8	0	0	24.0	141.3	24.727				
14.1	0	0	24.5	141.9	25.226				
14.4	0	0	25.0	142.3	25.727				
14.7	0	0	25.5	143.9	26.227				
15.0	0	0	26.0	144.4	26.727				
15.3	0	0	26.5	143.4	27.226				
15.6	0	0	27.0	143.7	27.727				
15.9	0	0	27.5	144.1	28.227				
16.2	0	0	28.0	144.3	28.726				
16.5	0	0	28.5	146.8	29.226				
16.8	0	0	29.0	147.9	29.726				
17.1	0	0	29.5	149.9	30.226				
17.4	0	0	30.0	149.5	30.724				
17.7	0	0	30.5	149.8	31.224				
18.0	0	0	31.0	149.7	31.723				
18.3	0	0	31.5	150.2	32.223				
18.6	0	0	32.0	150.5	32.723				
18.9	0	0	32.5	151.5	33.224				
19.2	0	0	33.0	151.7	33.724				
19.5	0	0	33.5	152.5	34.223				
19.8	0	0	34.0	153.0	34.723				
20.1	0	0	34.5	154.3	35.223				
20.4	0	0	35.0	155.0	35.723				
20.7	0	0	35.5	157.9	36.223				
21.0	0	0	36.0	158.4	36.722				
21.3	0	0	36.5	160.3	37.222				
21.6	0	0	37.0	161.0	37.721				
21.9	0	0	37.5	162.7	38.221				
22.2	0	0	38.0	163.1	38.72				
22.5	0	0	38.5	165.7	39.219				
22.8	0	0	39.0	165.9	39.719				
23.1	0	0	39.5	166.3	40.218				
23.4	0	0	40.0	166.8	40.719				
23.7	0	0	40.5	168.2	41.219				
24.0	0	0	41.0	168.7	41.719				
24.3	0	0	41.5	170.5	42.219				
24.6	0	0	42.0	171.0	42.719				
24.9	0	0	42.5	171.4	43.217				
25.2	0	0	43.0	171.8	43.716				
25.5	0	0	43.5	172.8	44.215				
25.8	0	0	44.0	173.0	44.715				
26.1	0	0	44.5	172.7	45.213				
26.4	0	0	45.0	172.6	45.714				
26.7	0	0	45.5	171.9	46.214				
27.0	0	0	46.0	171.9	46.714				
27.3	0	0	46.5	172.2	47.213				
27.6	0	0	47.0	172.4	47.714				
27.9	0	0	47.5	170.8	48.216				
28.2	0	0	48.0	170.9	48.716				
28.5	0	0	48.5	170.9	49.217				
28.8	0	0	49.0	170.6	49.715				
29.1	0	0	49.5	170.2	50.216				
29.4	0	0	50.0	170.7	50.716				
29.7	0	0	50.5	170.2	51.217	*			
