z_pos,x_pos,y_pos,time,flux,err_byte,
0,0,0,1,124.4,6.153,*
0.3,0,0,1.25,124.4,6.302,
0.6,0,0,1.375,124.4,6.49,
0.9,0,0,1.5,124.2,6.64,
1.2,0,0,1.625,124.2,6.79,
1.5,0,0,1.75,124.2,6.941,
1.8,0,0,2,124.3,7.091,
2.1,0,0,2.25,124.4,7.248,
2.4,0,0,2.375,124.5,7.504,
2.7,0,0,2.5,124.5,7.654,
3,0,0,2.625,124.5,7.804,
3.3,0,0,2.75,124.5,7.955,
3.6,0,0,3,124.5,8.105,
3.9,0,0,3.25,124.5,8.255,
4.2,0,0,3.375,124.5,8.484,
4.5,0,0,3.5,124.5,8.634,
4.8,0,0,3.625,124.5,8.784,
5.1,0,0,3.75,124.4,8.934,
5.4,0,0,4,124.4,9.085,
5.7,0,0,4.25,124.6,9.252,
6,0,0,4.375,124.6,9.495,
6.3,0,0,4.5,124.5,9.645,
6.6,0,0,4.625,124.5,9.795,
6.9,0,0,4.75,124.5,9.945,
7.2,0,0,5,124.6,10.096,
7.5,0,0,5.25,125.3,10.248,
7.8,0,0,5.375,125.9,10.493,
8.1,0,0,5.5,125.9,10.642,
8.4,0,0,5.625,125.9,10.793,
8.7,0,0,5.75,125.9,10.945,
9,0,0,6,125.8,11.094,
9.3,0,0,6.25,127.1,11.244,
9.6,0,0,6.375,127.1,11.488,
9.9,0,0,6.5,127.1,11.638,
10.2,0,0,6.625,127.1,11.788,
10.5,0,0,6.75,127.8,11.939,
10.8,0,0,7,127.3,12.089,
11.1,0,0,7.25,128.1,12.262,
11.4,0,0,7.375,128.1,12.496,
11.7,0,0,7.5,128.1,12.646,
12,0,0,7.625,129,12.796,
12.3,0,0,7.75,129,12.945,
12.6,0,0,8,128.6,13.096,
12.9,0,0,8.25,129.5,13.245,
13.2,0,0,8.375,129.5,13.491,
13.5,0,0,8.5,130.1,13.642,
13.8,0,0,8.625,130.1,13.792,
14.1,0,0,8.75,130.1,13.943,
14.4,0,0,9,130,14.092,
14.7,0,0,9.25,131.5,14.249,
15,0,0,9.375,131.5,14.493,
15.3,0,0,9.5,131.5,14.676,
15.6,0,0,9.625,131.5,14.828,
15.9,0,0,9.875,132.2,14.979,
16.2,0,0,10,131.7,15.13,
16.5,0,0,10.25,132.9,15.281,
16.8,0,0,10.375,132.9,15.487,
17.1,0,0,10.5,132.9,15.637,
17.4,0,0,10.625,133.7,15.786,
17.7,0,0,10.75,133.7,15.935,
18,0,0,11,133.3,16.086,
18.3,0,0,11.25,134.2,16.249,
18.6,0,0,11.375,134.2,16.499,
18.9,0,0,11.5,134.9,16.649,
19.2,0,0,11.625,134.9,16.801,
19.5,0,0,11.75,134.9,16.949,
19.8,0,0,12,134.7,17.099,
20.1,0,0,12.25,135.5,17.254,
20.4,0,0,12.375,136.1,17.485,
20.7,0,0,12.5,136.1,17.635,
21,0,0,12.625,136.1,17.784,
21.3,0,0,12.75,136.9,17.933,
21.6,0,0,13,136.2,18.083,
21.9,0,0,13.25,137.5,18.243,
22.2,0,0,13.375,137.5,18.499,
22.5,0,0,13.5,137.5,18.649,
22.8,0,0,13.625,138.1,18.799,
23.1,0,0,13.75,138.1,18.948,
23.4,0,0,14,137.9,19.097,
23.7,0,0,14.25,138.8,19.249,
24,0,0,14.375,138.8,19.484,
24.3,0,0,14.5,139.6,19.634,
24.6,0,0,14.625,139.6,19.784,
24.9,0,0,14.75,139.6,19.935,
25.2,0,0,15,139.4,20.085,
25.5,0,0,15.25,140.4,20.243,
25.8,0,0,15.375,140.9,20.493,
26.1,0,0,15.5,140.9,20.644,
26.4,0,0,15.625,140.9,20.793,
26.7,0,0,15.75,141.5,20.944,
27,0,0,16,141,21.093,
27.3,0,0,16.25,142.2,21.248,
27.6,0,0,16.375,142.2,21.491,
27.9,0,0,16.5,142.2,21.64,
28.2,0,0,16.625,142.9,21.79,
28.5,0,0,16.75,142.9,21.94,
28.8,0,0,17,142.5,22.09,
29.1,0,0,17.25,143.7,22.246,
29.4,0,0,17.375,143.7,22.489,
29.7,0,0,17.5,144.4,22.639,
