z_pos	x_pos	y_pos	time	flux	err_byte	Unnamed: 6
100.2	0	0	1.0	118.0	5.579	*
100.5	0	0	1.25	118.1	5.829	
100.8	0	0	1.5	118.1	6.08	
101.1	0	0	1.75	117.9	6.328	
101.4	0	0	2.0	118.0	6.578	
101.7	0	0	2.25	117.7	6.828	
102.0	0	0	2.5	117.8	7.079	
102.3	0	0	2.75	117.8	7.329	
102.6	0	0	3.0	117.8	7.579	
102.9	0	0	3.25	118.0	7.829	
103.2	0	0	3.5	117.9	8.079	
103.5	0	0	3.75	117.9	8.328	
103.8	0	0	4.0	117.9	8.578	
104.1	0	0	4.25	117.7	8.828	
104.4	0	0	4.5	117.7	9.079	
104.7	0	0	4.75	117.9	9.328	
105.0	0	0	5.0	117.8	9.577	
105.3	0	0	5.25	118.7	9.827	
105.6	0	0	5.5	119.0	10.078	
105.9	0	0	5.75	119.0	10.327	
106.2	0	0	6.0	119.1	10.577	
106.5	0	0	6.25	119.8	10.827	
106.8	0	0	6.5	120.3	11.077	
107.1	0	0	6.75	120.3	11.327	
107.4	0	0	7.0	120.2	11.577	
107.7	0	0	7.25	121.3	11.826	
108.0	0	0	7.5	121.3	12.077	
108.3	0	0	7.75	121.8	12.327	
108.6	0	0	8.0	121.5	12.578	
108.9	0	0	8.25	121.8	12.827	
109.2	0	0	8.5	122.2	13.077	
109.5	0	0	8.75	122.2	13.326	
109.8	0	0	9.0	122.1	13.577	
110.1	0	0	9.25	122.3	13.826	
110.4	0	0	9.5	122.4	14.076	
110.7	0	0	9.75	122.4	14.326	
111.0	0	0	10.0	122.4	14.577	
111.3	0	0	10.25	123.1	14.826	
111.6	0	0	10.5	123.1	15.077	
111.9	0	0	10.75	122.2	15.326	
112.2	0	0	11.0	122.6	15.576	
112.5	0	0	11.25	124.4	15.826	
112.8	0	0	11.5	124.9	16.076	
113.1	0	0	11.75	124.9	16.327	
113.4	0	0	12.0	125.1	16.576	
113.7	0	0	12.25	126.5	16.826	
114.0	0	0	12.5	126.8	17.076	
114.3	0	0	12.75	126.8	17.325	
114.6	0	0	13.0	126.6	17.575	
114.9	0	0	13.25	127.1	17.824	
115.2	0	0	13.5	127.1	18.073	
115.5	0	0	13.75	128.2	18.324	
115.8	0	0	14.0	127.6	18.574	
116.1	0	0	14.25	129.1	18.823	
116.4	0	0	14.5	129.1	19.073	
116.7	0	0	14.75	128.9	19.323	
117.0	0	0	15.0	129.0	19.573	
117.3	0	0	15.25	128.9	19.823	
117.6	0	0	15.5	129.6	20.074	
117.9	0	0	15.75	129.6	20.325	
118.2	0	0	16.0	129.3	20.575	
118.5	0	0	16.25	129.7	20.826	
118.8	0	0	16.5	129.7	21.077	
119.1	0	0	16.75	130.5	21.325	
119.4	0	0	17.0	130.1	21.575	
119.7	0	0	17.25	132.1	21.825	
120.0	0	0	17.5	132.1	22.075	
120.3	0	0	17.75	132.2	22.325	
120.6	0	0	18.0	132.2	22.577	
120.9	0	0	18.25	132.5	22.827	
121.2	0	0	18.5	133.5	23.077	
121.5	0	0	18.75	133.5	23.328	
121.8	0	0	19.0	133.3	23.579	
122.1	0	0	19.25	133.8	23.828	
122.4	0	0	19.5	135.1	24.078	
122.7	0	0	19.75	134.0	24.328	
123.0	0	0	20.0	134.2	24.578	
123.3	0	0	20.25	133.3	24.828	
123.6	0	0	20.5	133.3	25.078	
123.9	0	0	20.75	134.4	25.327	
124.2	0	0	21.0	134.3	25.577	
124.5	0	0	21.25	136.4	25.826	
124.8	0	0	21.5	137.3	26.075	
125.1	0	0	21.75	137.3	26.326	
125.4	0	0	22.0	137.5	26.576	
125.7	0	0	22.25	139.1	26.826	
126.0	0	0	22.5	141.2	27.075	
126.3	0	0	22.75	139.7	27.326	
126.6	0	0	23.0	139.9	27.576	
126.9	0	0	23.25	139.6	27.826	
127.2	0	0	23.5	139.6	28.076	
127.5	0	0	23.75	140.3	28.326	
127.8	0	0	24.0	140.2	28.575	
128.1	0	0	24.25	141.3	28.824	
128.4	0	0	24.5	142.3	29.073	
128.7	0	0	24.75	142.3	29.323	
129.0	0	0	25.0	142.2	29.574	
129.3	0	0	25.25	143.1	29.823	
129.6	0	0	25.5	143.8	30.074	
129.9	0	0	25.75	144.7	30.324	
130.2	0	0	26.0	144.0	30.575	
130.5	0	0	26.25	144.9	30.825	
130.8	0	0	26.5	144.9	31.074	
131.1	0	0	26.75	146.1	31.324	
131.4	0	0	27.0	145.5	31.574	
131.7	0	0	27.25	147.1	31.823	
132.0	0	0	27.5	147.9	32.073	
132.3	0	0	27.75	147.9	32.324	
132.6	0	0	28.0	148.0	32.574	
132.9	0	0	28.25	149.4	32.823	
133.2	0	0	28.5	149.8	33.075	
133.5	0	0	28.75	150.6	33.325	
133.8	0	0	29.0	150.1	33.577	
134.1	0	0	29.25	151.7	33.826	
134.4	0	0	29.5	151.7	34.076	
134.7	0	0	29.75	152.6	34.326	
135.0	0	0	30.0	152.1	34.576	
135.3	0	0	30.25	153.5	34.825	
135.6	0	0	30.5	154.2	35.076	
135.9	0	0	30.75	154.2	35.327	
136.2	0	0	31.0	154.2	35.575	
136.5	0	0	31.25	154.9	35.827	
136.8	0	0	31.5	156.7	36.077	
137.1	0	0	31.75	157.2	36.327	
137.4	0	0	32.0	156.5	36.577	
137.7	0	0	32.25	157.6	36.826	
138.0	0	0	32.5	157.6	37.077	
138.3	0	0	32.75	158.5	37.327	
138.6	0	0	33.0	158.0	37.576	
138.9	0	0	33.25	158.6	37.828	
139.2	0	0	33.5	159.9	38.078	
139.5	0	0	33.75	159.9	38.328	
139.8	0	0	34.0	159.7	38.578	
140.1	0	0	34.25	160.4	38.828	
140.4	0	0	34.5	161.3	39.076	
140.7	0	0	34.75	161.3	39.327	
141.0	0	0	35.0	161.3	39.576	
141.3	0	0	35.25	162.3	39.826	
141.6	0	0	35.5	162.3	40.076	
141.9	0	0	35.75	163.1	40.327	
142.2	0	0	36.0	162.7	40.576	
142.5	0	0	36.25	163.1	40.826	
142.8	0	0	36.5	163.3	41.075	
143.1	0	0	36.75	163.3	41.326	
143.4	0	0	37.0	163.6	41.575	
143.7	0	0	37.25	164.7	41.825	
144.0	0	0	37.5	165.8	42.076	
144.3	0	0	37.75	165.8	42.326	
144.6	0	0	38.0	165.6	42.576	
144.9	0	0	38.25	167.4	42.826	
145.2	0	0	38.5	167.4	43.077	
145.5	0	0	38.75	167.4	43.327	
145.8	0	0	39.0	167.4	43.577	
146.1	0	0	39.25	169.2	43.826	
146.4	0	0	39.5	169.2	44.077	
146.7	0	0	39.75	170.3	44.327	
147.0	0	0	40.0	169.9	44.575	
147.3	0	0	40.25	171.1	44.826	
147.6	0	0	40.5	171.9	45.076	
147.9	0	0	40.75	171.9	45.325	
148.2	0	0	41.0	171.9	45.575	
148.5	0	0	41.25	173.4	45.824	
148.8	0	0	41.5	173.4	46.073	
149.1	0	0	41.75	174.3	46.324	
149.4	0	0	42.0	173.8	46.575	
149.7	0	0	42.25	175.3	46.825	
150.0	0	0	42.5	175.3	47.073	
150.3	0	0	42.75	174.3	47.323	
150.6	0	0	43.0	174.9	47.573	
150.9	0	0	43.25	174.8	47.822	
151.2	0	0	43.5	175.4	48.071	
151.5	0	0	43.75	175.4	48.321	
151.8	0	0	44.0	175.1	48.572	
152.1	0	0	44.25	175.4	48.822	
152.4	0	0	44.5	175.4	49.071	
152.7	0	0	44.75	174.8	49.322	
153.0	0	0	45.0	175.1	49.57	
153.3	0	0	45.25	174.3	49.821	
153.6	0	0	45.5	174.3	50.071	
153.9	0	0	45.75	174.6	50.322	
154.2	0	0	46.0	174.6	50.571	
154.5	0	0	46.25	175.5	50.822	
154.8	0	0	46.5	176.1	51.072	
155.1	0	0	46.75	176.1	51.321	
155.4	0	0	47.0	176.2	51.571	
155.7	0	0	47.25	177.2	51.823	
156.0	0	0	47.5	176.5	52.073	
156.3	0	0	47.75	177.4	52.324	
156.6	0	0	48.0	177.1	52.573	
156.9	0	0	48.25	177.0	52.823	
157.2	0	0	48.5	177.0	53.074	
157.5	0	0	48.75	177.1	53.324	
157.8	0	0	49.0	176.9	53.572	
158.1	0	0	49.25	176.7	53.823	
158.4	0	0	49.5	177.3	54.073	
158.7	0	0	49.75	177.3	54.324	
159.0	0	0	50.0	177.2	54.573	
159.3	0	0	50.25	177.8	54.824	
159.6	0	0	50.5	177.0	55.074	
159.9	0	0	50.75	176.4	55.326	
