rod_id,position,angle,measurement_index,point_index,value
Rod3,endN3,0,0,0,-0.00112
Rod3,endN3,0,0,1,-0.00145
Rod3,endN3,0,0,2,-0.00096
Rod3,endN3,0,0,3,-0.00047
Rod3,endN3,0,0,4,-0.00014
Rod3,endN3,0,0,5,3e-05
Rod3,endN3,0,0,6,0.00052
Rod3,endN3,0,0,7,0.00085
Rod3,endN3,0,0,8,0.00118
Rod3,endN3,0,0,9,0.00167
Rod3,endN3,0,0,10,0.00184
Rod3,endN3,0,0,11,0.00233
Rod3,endN3,0,0,12,0.00282
Rod3,endN3,0,0,13,0.00315
Rod3,endN3,0,0,14,0.00331
Rod3,endN3,0,0,15,0.00364
Rod3,endN3,0,0,16,0.0043
Rod3,endN3,0,0,17,0.00463
Rod3,endN3,0,0,18,0.00496
Rod3,endN3,0,0,19,0.00529
Rod3,endN3,0,0,20,0.00693
Rod3,endN3,0,0,21,0.00923
Rod3,endN3,0,0,22,0.01038
Rod3,endN3,0,0,23,0.01236
Rod3,endN3,0,0,24,0.01433
Rod3,endN3,0,0,25,0.01581
Rod3,endN3,0,0,26,0.01778
Rod3,endN3,0,0,27,0.01942
Rod3,endN3,0,0,28,0.02107
Rod3,endN3,0,0,29,0.02288
Rod3,endN3,0,0,30,0.02468
Rod3,endN3,0,0,31,0.02649
Rod3,endN3,0,1,0,-0.00112
Rod3,endN3,0,1,1,-0.00145
Rod3,endN3,0,1,2,-0.00096
Rod3,endN3,0,1,3,-0.00047
Rod3,endN3,0,1,4,-0.0003
Rod3,endN3,0,1,5,-0.00014
Rod3,endN3,0,1,6,0.00052
Rod3,endN3,0,1,7,0.00101
Rod3,endN3,0,1,8,0.00151
Rod3,endN3,0,1,9,0.00184
Rod3,endN3,0,1,10,0.00184
Rod3,endN3,0,1,11,0.00233
Rod3,endN3,0,1,12,0.00282
Rod3,endN3,0,1,13,0.00315
Rod3,endN3,0,1,14,0.00331
Rod3,endN3,0,1,15,0.00397
Rod3,endN3,0,1,16,0.0043
Rod3,endN3,0,1,17,0.00463
Rod3,endN3,0,1,18,0.00512
Rod3,endN3,0,1,19,0.00512
Rod3,endN3,0,1,20,0.00726
Rod3,endN3,0,1,21,0.00923
Rod3,endN3,0,1,22,0.01071
Rod3,endN3,0,1,23,0.01252
Rod3,endN3,0,1,24,0.01416
Rod3,endN3,0,1,25,0.01597
Rod3,endN3,0,1,26,0.01762
Rod3,endN3,0,1,27,0.01959
Rod3,endN3,0,1,28,0.0214
Rod3,endN3,0,1,29,0.02304
Rod3,endN3,0,1,30,0.02501
Rod3,endN3,0,1,31,0.02666
Rod3,endN3,0,2,0,-0.00112
Rod3,endN3,0,2,1,-0.00129
Rod3,endN3,0,2,2,-0.00079
Rod3,endN3,0,2,3,-0.00063
Rod3,endN3,0,2,4,-0.00014
Rod3,endN3,0,2,5,-0.00014
Rod3,endN3,0,2,6,0.00052
Rod3,endN3,0,2,7,0.00085
