rod_id	position	measurement_index	point_index	value
Rod2	endN1	0	0	0.00068
Rod2	endN1	0	1	0.00266
Rod2	endN1	0	2	0.00414
Rod2	endN1	0	3	0.00578
Rod2	endN1	0	4	0.00742
Rod2	endN1	0	5	0.01055
Rod2	endN1	0	6	0.01219
Rod2	endN1	0	7	0.01384
Rod2	endN1	0	8	0.01548
Rod2	endN1	0	9	0.01696
Rod2	endN1	0	10	0.01877
Rod2	endN1	0	11	0.02041
Rod2	endN1	0	12	0.02222
Rod2	endN1	0	13	0.0237
Rod2	endN1	0	14	0.02518
Rod2	endN1	0	15	0.02666
Rod2	endN1	1	0	0.00052
Rod2	endN1	1	1	0.00249
Rod2	endN1	1	2	0.0043
Rod2	endN1	1	3	0.00578
Rod2	endN1	1	4	0.00726
Rod2	endN1	1	5	0.01055
Rod2	endN1	1	6	0.01186
Rod2	endN1	1	7	0.01351
Rod2	endN1	1	8	0.01548
Rod2	endN1	1	9	0.01696
Rod2	endN1	1	10	0.01877
Rod2	endN1	1	11	0.02025
Rod2	endN1	1	12	0.02189
Rod2	endN1	1	13	0.02353
Rod2	endN1	1	14	0.02501
Rod2	endN1	1	15	0.02649
Rod2	endN1	2	0	0.00068
Rod2	endN1	2	1	0.00216
Rod2	endN1	2	2	0.00414
Rod2	endN1	2	3	0.00578
Rod2	endN1	2	4	0.00742
Rod2	endN1	2	5	0.01038
Rod2	endN1	2	6	0.01219
Rod2	endN1	2	7	0.01367
Rod2	endN1	2	8	0.01531
Rod2	endN1	2	9	0.01712
Rod2	endN1	2	10	0.01844
Rod2	endN1	2	11	0.02025
Rod2	endN1	2	12	0.02205
Rod2	endN1	2	13	0.02337
Rod2	endN1	2	14	0.02518
Rod2	endN1	2	15	0.02666
Rod2	endN1	3	0	0.00052
Rod2	endN1	3	1	0.00249
Rod2	endN1	3	2	0.00397
Rod2	endN1	3	3	0.00578
Rod2	endN1	3	4	0.00742
Rod2	endN1	3	5	0.01038
Rod2	endN1	3	6	0.01203
Rod2	endN1	3	7	0.01384
Rod2	endN1	3	8	0.01531
Rod2	endN1	3	9	0.01696
Rod2	endN1	3	10	0.01844
Rod2	endN1	3	11	0.02025
Rod2	endN1	3	12	0.02222
Rod2	endN1	3	13	0.02337
Rod2	endN1	3	14	0.02534
Rod2	endN1	3	15	0.02682
Rod2	endN1	4	0	0.00068
Rod2	endN1	4	1	0.00233
Rod2	endN1	4	2	0.00397
Rod2	endN1	4	3	0.00578
Rod2	endN1	4	4	0.00742
Rod2	endN1	4	5	0.01055
Rod2	endN1	4	6	0.01219
Rod2	endN1	4	7	0.014
Rod2	endN1	4	8	0.01548
Rod2	endN1	4	9	0.01679
Rod2	endN1	4	10	0.0186
Rod2	endN1	4	11	0.02041
Rod2	endN1	4	12	0.02189
Rod2	endN1	4	13	0.02353
Rod2	endN1	4	14	0.02501
Rod2	endN1	4	15	0.02666
Rod2	endN1	5	0	0.00052
Rod2	endN1	5	1	0.00216
Rod2	endN1	5	2	0.0043
Rod2	endN1	5	3	0.00562
Rod2	endN1	5	4	0.00742
Rod2	endN1	5	5	0.01071
Rod2	endN1	5	6	0.01219
Rod2	endN1	5	7	0.014
Rod2	endN1	5	8	0.01548
Rod2	endN1	5	9	0.01712
Rod2	endN1	5	10	0.01877
Rod2	endN1	5	11	0.02041
Rod2	endN1	5	12	0.02189
Rod2	endN1	5	13	0.02353
Rod2	endN1	5	14	0.02534
Rod2	endN1	5	15	0.02666
Rod2	endN1	6	0	0.00068
Rod2	endN1	6	1	0.00266
Rod2	endN1	6	2	0.00414
Rod2	endN1	6	3	0.00545
Rod2	endN1	6	4	0.00742
Rod2	endN1	6	5	0.01055
Rod2	endN1	6	6	0.01219
Rod2	endN1	6	7	0.01384
Rod2	endN1	6	8	0.01564
