rod_id,trial,measurement_index,point_index,value
Rod3,N2,0,0,-0.00688
Rod3,N2,0,1,-0.00737
Rod3,N2,0,2,-0.00786
Rod3,N2,0,3,-0.00951
Rod3,N2,0,4,-0.01312
Rod3,N2,0,5,-0.01394
Rod3,N2,0,6,-0.01888
Rod3,N2,1,0,-0.00688
Rod3,N2,1,1,-0.00753
Rod3,N2,1,2,-0.00786
Rod3,N2,1,3,-0.00934
Rod3,N2,1,4,-0.01296
Rod3,N2,1,5,-0.01394
Rod3,N2,1,6,-0.01888
Rod3,N2,2,0,-0.00721
Rod3,N2,2,1,-0.00753
Rod3,N2,2,2,-0.00803
Rod3,N2,2,3,-0.00967
Rod3,N2,2,4,-0.01312
Rod3,N2,2,5,-0.01394
Rod3,N2,2,6,-0.01921
Rod3,N2,3,0,-0.00721
Rod3,N2,3,1,-0.00753
Rod3,N2,3,2,-0.00786
Rod3,N2,3,3,-0.00951
Rod3,N2,3,4,-0.01329
Rod3,N2,3,5,-0.01411
Rod3,N2,3,6,-0.01921
Rod3,N2,4,0,-0.00721
Rod3,N2,4,1,-0.00721
Rod3,N2,4,2,-0.00786
Rod3,N2,4,3,-0.00918
Rod3,N2,4,4,-0.01296
Rod3,N2,4,5,-0.01378
Rod3,N2,4,6,-0.01871
Rod3,N2,5,0,-0.00704
Rod3,N2,5,1,-0.00753
Rod3,N2,5,2,-0.00786
Rod3,N2,5,3,-0.00951
Rod3,N2,5,4,-0.01329
Rod3,N2,5,5,-0.01411
Rod3,N2,5,6,-0.01888
Rod3,N2,6,0,-0.00688
Rod3,N2,6,1,-0.00753
Rod3,N2,6,2,-0.00803
Rod3,N2,6,3,-0.00967
Rod3,N2,6,4,-0.01329
Rod3,N2,6,5,-0.01411
Rod3,N2,6,6,-0.01871
Rod3,N2,7,0,-0.00688
Rod3,N2,7,1,-0.00737
Rod3,N2,7,2,-0.00786
Rod3,N2,7,3,-0.00951
Rod3,N2,7,4,-0.01312
Rod3,N2,7,5,-0.01394
Rod3,N2,7,6,-0.01888
Rod3,N2,8,0,-0.00688
Rod3,N2,8,1,-0.0077
Rod3,N2,8,2,-0.00819
Rod3,N2,8,3,-0.00951
Rod3,N2,8,4,-0.01312
Rod3,N2,8,5,-0.01411
Rod3,N2,8,6,-0.01888
Rod3,N2,9,0,-0.00688
Rod3,N2,9,1,-0.00737
Rod3,N2,9,2,-0.00803
Rod3,N2,9,3,-0.00934
Rod3,N2,9,4,-0.01329
Rod3,N2,9,5,-0.01411
Rod3,N2,9,6,-0.01871
Rod3,N2,10,0,-0.00737
Rod3,N2,10,1,-0.00737
Rod3,N2,10,2,-0.00786
Rod3,N2,10,3,-0.00951
Rod3,N2,10,4,-0.01329
Rod3,N2,10,5,-0.01378
Rod3,N2,10,6,-0.01871
Rod3,N2,11,0,-0.00704
Rod3,N2,11,1,-0.00737
Rod3,N2,11,2,-0.00786
Rod3,N2,11,3,-0.00967
Rod3,N2,11,4,-0.01312
Rod3,N2,11,5,-0.01411
Rod3,N2,11,6,-0.01888
Rod3,N2,12,0,-0.00704
Rod3,N2,12,1,-0.00737
Rod3,N2,12,2,-0.00786
Rod3,N2,12,3,-0.00967
Rod3,N2,12,4,-0.01312
Rod3,N2,12,5,-0.01378
Rod3,N2,12,6,-0.01888
Rod3,N2,13,0,-0.00721
Rod3,N2,13,1,-0.00737
Rod3,N2,13,2,-0.00819
Rod3,N2,13,3,-0.00951
Rod3,N2,13,4,-0.01345
Rod3,N2,13,5,-0.01411
Rod3,N2,13,6,-0.01904
Rod3,N2,14,0,-0.00688
Rod3,N2,14,1,-0.00721
Rod3,N2,14,2,-0.00786
Rod3,N2,14,3,-0.00967
Rod3,N2,14,4,-0.01329
Rod3,N2,14,5,-0.01394
Rod3,N2,14,6,-0.01888
Rod3,N2,15,0,-0.00704
Rod3,N2,15,1,-0.00753
Rod3,N2,15,2,-0.00786
Rod3,N2,15,3,-0.00951
Rod3,N2,15,4,-0.01296
Rod3,N2,15,5,-0.01411
Rod3,N2,15,6,-0.01904
Rod3,N2,16,0,-0.00721
Rod3,N2,16,1,-0.00753
Rod3,N2,16,2,-0.00803
Rod3,N2,16,3,-0.00951
Rod3,N2,16,4,-0.01329
Rod3,N2,16,5,-0.01378
Rod3,N2,16,6,-0.01888
Rod3,N2,17,0,-0.00704
Rod3,N2,17,1,-0.00753
Rod3,N2,17,2,-0.0077
Rod3,N2,17,3,-0.00951
Rod3,N2,17,4,-0.01329
Rod3,N2,17,5,-0.01394
Rod3,N2,17,6,-0.01904
Rod3,N2,18,0,-0.00688
Rod3,N2,18,1,-0.00721
Rod3,N2,18,2,-0.00819
Rod3,N2,18,3,-0.00951
Rod3,N2,18,4,-0.01329
Rod3,N2,18,5,-0.01362
Rod3,N2,18,6,-0.01904
Rod3,N2,19,0,-0.00721
Rod3,N2,19,1,-0.00737
Rod3,N2,19,2,-0.00786
Rod3,N2,19,3,-0.00951
Rod3,N2,19,4,-0.01312
Rod3,N2,19,5,-0.01394
Rod3,N2,19,6,-0.01904
Rod3,N2,20,0,-0.00704
Rod3,N2,20,1,-0.00737
Rod3,N2,20,2,-0.00803
Rod3,N2,20,3,-0.00967
Rod3,N2,20,4,-0.01329
Rod3,N2,20,5,-0.01411
Rod3,N2,20,6,-0.01871
Rod3,N2,21,0,-0.00721
Rod3,N2,21,1,-0.00737
Rod3,N2,21,2,-0.00803
Rod3,N2,21,3,-0.00967
Rod3,N2,21,4,-0.01312
Rod3,N2,21,5,-0.01394
Rod3,N2,21,6,-0.01888
Rod3,N2,22,0,-0.00721
Rod3,N2,22,1,-0.00753
Rod3,N2,22,2,-0.00786
Rod3,N2,22,3,-0.00967
Rod3,N2,22,4,-0.01329
Rod3,N2,22,5,-0.01394
Rod3,N2,22,6,-0.01871
Rod3,N2,23,0,-0.00704
Rod3,N2,23,1,-0.00737
Rod3,N2,23,2,-0.00786
Rod3,N2,23,3,-0.00951
Rod3,N2,23,4,-0.01329
Rod3,N2,23,5,-0.01394
Rod3,N2,23,6,-0.01888
Rod3,N2,24,0,-0.00721
Rod3,N2,24,1,-0.00737
Rod3,N2,24,2,-0.00786
Rod3,N2,24,3,-0.00967
Rod3,N2,24,4,-0.01312
Rod3,N2,24,5,-0.01394
Rod3,N2,24,6,-0.01888
Rod3,N2,25,0,-0.00704
Rod3,N2,25,1,-0.00753
Rod3,N2,25,2,-0.0077
Rod3,N2,25,3,-0.00967
Rod3,N2,25,4,-0.01312
Rod3,N2,25,5,-0.01411
Rod3,N2,25,6,-0.01904
Rod3,N2,26,0,-0.00721
Rod3,N2,26,1,-0.00737
Rod3,N2,26,2,-0.00803
Rod3,N2,26,3,-0.00967
Rod3,N2,26,4,-0.01312
Rod3,N2,26,5,-0.01378
Rod3,N2,26,6,-0.01888
Rod3,N2,27,0,-0.00704
Rod3,N2,27,1,-0.00737
Rod3,N2,27,2,-0.00803
Rod3,N2,27,3,-0.00951
Rod3,N2,27,4,-0.01312
Rod3,N2,27,5,-0.01394
Rod3,N2,27,6,-0.01904
Rod3,N2,28,0,-0.00688
Rod3,N2,28,1,-0.00721
Rod3,N2,28,2,-0.00803
Rod3,N2,28,3,-0.00967
Rod3,N2,28,4,-0.01345
Rod3,N2,28,5,-0.01411
Rod3,N2,28,6,-0.01888
Rod3,N2,29,0,-0.00688
Rod3,N2,29,1,-0.00737
Rod3,N2,29,2,-0.00786
Rod3,N2,29,3,-0.00951
Rod3,N2,29,4,-0.01329
Rod3,N2,29,5,-0.01394
Rod3,N2,29,6,-0.01888
Rod3,N2,30,0,-0.00721
Rod3,N2,30,1,-0.0077
Rod3,N2,30,2,-0.00803
Rod3,N2,30,3,-0.00967
Rod3,N2,30,4,-0.01296
Rod3,N2,30,5,-0.01394
Rod3,N2,30,6,-0.01871
Rod3,N2,31,0,-0.00704
Rod3,N2,31,1,-0.00721
Rod3,N2,31,2,-0.00803
Rod3,N2,31,3,-0.00967
Rod3,N2,31,4,-0.01329
Rod3,N2,31,5,-0.01378
Rod3,N2,31,6,-0.01888
Rod3,N2,32,0,-0.00721
Rod3,N2,32,1,-0.00753
Rod3,N2,32,2,-0.00786
Rod3,N2,32,3,-0.00984
Rod3,N2,32,4,-0.01329
Rod3,N2,32,5,-0.01378
Rod3,N2,32,6,-0.01888
Rod3,N2,33,0,-0.00688
Rod3,N2,33,1,-0.00753
Rod3,N2,33,2,-0.00803
Rod3,N2,33,3,-0.00984
Rod3,N2,33,4,-0.01329
Rod3,N2,33,5,-0.01378
Rod3,N2,33,6,-0.01888
Rod3,N2,34,0,-0.00704
Rod3,N2,34,1,-0.00737
Rod3,N2,34,2,-0.00803
Rod3,N2,34,3,-0.00967
Rod3,N2,34,4,-0.01312
Rod3,N2,34,5,-0.01378
Rod3,N2,34,6,-0.01888
Rod3,N2,35,0,-0.00688
Rod3,N2,35,1,-0.00737
Rod3,N2,35,2,-0.00786
Rod3,N2,35,3,-0.00951
Rod3,N2,35,4,-0.01312
Rod3,N2,35,5,-0.01394
Rod3,N2,35,6,-0.01888
Rod3,N2,36,0,-0.00688
Rod3,N2,36,1,-0.00753
Rod3,N2,36,2,-0.00803
Rod3,N2,36,3,-0.00967
Rod3,N2,36,4,-0.01329
Rod3,N2,36,5,-0.01411
Rod3,N2,36,6,-0.01888
Rod3,N2,37,0,-0.00704
Rod3,N2,37,1,-0.00737
Rod3,N2,37,2,-0.00786
Rod3,N2,37,3,-0.00951
Rod3,N2,37,4,-0.01296
Rod3,N2,37,5,-0.01394
Rod3,N2,37,6,-0.01888
Rod3,N2,38,0,-0.00704
Rod3,N2,38,1,-0.00737
Rod3,N2,38,2,-0.00786
Rod3,N2,38,3,-0.00967
Rod3,N2,38,4,-0.01329
Rod3,N2,38,5,-0.01394
Rod3,N2,38,6,-0.01904
Rod3,N2,39,0,-0.00704
Rod3,N2,39,1,-0.00737
Rod3,N2,39,2,-0.00786
Rod3,N2,39,3,-0.00951
Rod3,N2,39,4,-0.01296
Rod3,N2,39,5,-0.01411
Rod3,N2,39,6,-0.01921
Rod3,N2,40,0,-0.00688
Rod3,N2,40,1,-0.00737
Rod3,N2,40,2,-0.00786
Rod3,N2,40,3,-0.00951
Rod3,N2,40,4,-0.01312
Rod3,N2,40,5,-0.01378
Rod3,N2,40,6,-0.01888
Rod3,N2,41,0,-0.00704
Rod3,N2,41,1,-0.00737
Rod3,N2,41,2,-0.0077
Rod3,N2,41,3,-0.00967
Rod3,N2,41,4,-0.01312
Rod3,N2,41,5,-0.01394
Rod3,N2,41,6,-0.01871
Rod3,N2,42,0,-0.00737
Rod3,N2,42,1,-0.00737
Rod3,N2,42,2,-0.00803
Rod3,N2,42,3,-0.00951
Rod3,N2,42,4,-0.01329
Rod3,N2,42,5,-0.01394
Rod3,N2,42,6,-0.01904
Rod3,N2,43,0,-0.00688
Rod3,N2,43,1,-0.00737
Rod3,N2,43,2,-0.00786
Rod3,N2,43,3,-0.00967
Rod3,N2,43,4,-0.01312
Rod3,N2,43,5,-0.01394
Rod3,N2,43,6,-0.01871
Rod3,N2,44,0,-0.00688
Rod3,N2,44,1,-0.00737
Rod3,N2,44,2,-0.0077
Rod3,N2,44,3,-0.00967
Rod3,N2,44,4,-0.01329
Rod3,N2,44,5,-0.01394
Rod3,N2,44,6,-0.01888
Rod3,N2,45,0,-0.00704
Rod3,N2,45,1,-0.00721
Rod3,N2,45,2,-0.00786
Rod3,N2,45,3,-0.00984
Rod3,N2,45,4,-0.01312
Rod3,N2,45,5,-0.01411
Rod3,N2,45,6,-0.01904
Rod3,N2,46,0,-0.00721
Rod3,N2,46,1,-0.00753
Rod3,N2,46,2,-0.00819
