,rod_id,position,angle,measurement_index,point_index,value,material,lenght,diammeter
0,Rod3,endN3,0,0,0,-0.00112,al,182mm,1.6mm
1,Rod3,endN3,0,0,1,-0.00145,al,182mm,1.6mm
2,Rod3,endN3,0,0,2,-0.00096,al,182mm,1.6mm
3,Rod3,endN3,0,0,3,-0.00047,al,182mm,1.6mm
4,Rod3,endN3,0,0,4,-0.00014,al,182mm,1.6mm
5,Rod3,endN3,0,0,5,3e-05,al,182mm,1.6mm
6,Rod3,endN3,0,0,6,0.00052,al,182mm,1.6mm
7,Rod3,endN3,0,0,7,0.00085,al,182mm,1.6mm
8,Rod3,endN3,0,0,8,0.00118,al,182mm,1.6mm
9,Rod3,endN3,0,0,9,0.00167,al,182mm,1.6mm
10,Rod3,endN3,0,0,10,0.00184,al,182mm,1.6mm
11,Rod3,endN3,0,0,11,0.00233,al,182mm,1.6mm
12,Rod3,endN3,0,0,12,0.00282,al,182mm,1.6mm
13,Rod3,endN3,0,0,13,0.00315,al,182mm,1.6mm
14,Rod3,endN3,0,0,14,0.00331,al,182mm,1.6mm
15,Rod3,endN3,0,0,15,0.00364,al,182mm,1.6mm
16,Rod3,endN3,0,0,16,0.0043,al,182mm,1.6mm
17,Rod3,endN3,0,0,17,0.00463,al,182mm,1.6mm
18,Rod3,endN3,0,0,18,0.00496,al,182mm,1.6mm
19,Rod3,endN3,0,0,19,0.00529,al,182mm,1.6mm
20,Rod3,endN3,0,0,20,0.00693,al,182mm,1.6mm
21,Rod3,endN3,0,0,21,0.00923,al,182mm,1.6mm
22,Rod3,endN3,0,0,22,0.01038,al,182mm,1.6mm
23,Rod3,endN3,0,0,23,0.01236,al,182mm,1.6mm
24,Rod3,endN3,0,0,24,0.01433,al,182mm,1.6mm
25,Rod3,endN3,0,0,25,0.01581,al,182mm,1.6mm
26,Rod3,endN3,0,0,26,0.01778,al,182mm,1.6mm
27,Rod3,endN3,0,0,27,0.01942,al,182mm,1.6mm
28,Rod3,endN3,0,0,28,0.02107,al,182mm,1.6mm
29,Rod3,endN3,0,0,29,0.02288,al,182mm,1.6mm
30,Rod3,endN3,0,0,30,0.02468,al,182mm,1.6mm
31,Rod3,endN3,0,0,31,0.02649,al,182mm,1.6mm
32,Rod3,endN3,0,1,0,-0.00112,al,182mm,1.6mm
33,Rod3,endN3,0,1,1,-0.00145,al,182mm,1.6mm
34,Rod3,endN3,0,1,2,-0.00096,al,182mm,1.6mm
35,Rod3,endN3,0,1,3,-0.00047,al,182mm,1.6mm
36,Rod3,endN3,0,1,4,-0.0003,al,182mm,1.6mm
37,Rod3,endN3,0,1,5,-0.00014,al,182mm,1.6mm
38,Rod3,endN3,0,1,6,0.00052,al,182mm,1.6mm
39,Rod3,endN3,0,1,7,0.00101,al,182mm,1.6mm
40,Rod3,endN3,0,1,8,0.00151,al,182mm,1.6mm
41,Rod3,endN3,0,1,9,0.00184,al,182mm,1.6mm
42,Rod3,endN3,0,1,10,0.00184,al,182mm,1.6mm
43,Rod3,endN3,0,1,11,0.00233,al,182mm,1.6mm
44,Rod3,endN3,0,1,12,0.00282,al,182mm,1.6mm
45,Rod3,endN3,0,1,13,0.00315,al,182mm,1.6mm
46,Rod3,endN3,0,1,14,0.00331,al,182mm,1.6mm
47,Rod3,endN3,0,1,15,0.00397,al,182mm,1.6mm
48,Rod3,endN3,0,1,16,0.0043,al,182mm,1.6mm
49,Rod3,endN3,0,1,17,0.00463,al,182mm,1.6mm
50,Rod3,endN3,0,1,18,0.00512,al,182mm,1.6mm
51,Rod3,endN3,0,1,19,0.00512,al,182mm,1.6mm
52,Rod3,endN3,0,1,20,0.00726,al,182mm,1.6mm
53,Rod3,endN3,0,1,21,0.00923,al,182mm,1.6mm
54,Rod3,endN3,0,1,22,0.01071,al,182mm,1.6mm
55,Rod3,endN3,0,1,23,0.01252,al,182mm,1.6mm
56,Rod3,endN3,0,1,24,0.01416,al,182mm,1.6mm
57,Rod3,endN3,0,1,25,0.01597,al,182mm,1.6mm
58,Rod3,endN3,0,1,26,0.01762,al,182mm,1.6mm
59,Rod3,endN3,0,1,27,0.01959,al,182mm,1.6mm
60,Rod3,endN3,0,1,28,0.0214,al,182mm,1.6mm
61,Rod3,endN3,0,1,29,0.02304,al,182mm,1.6mm
62,Rod3,endN3,0,1,30,0.02501,al,182mm,1.6mm
63,Rod3,endN3,0,1,31,0.02666,al,182mm,1.6mm
64,Rod3,endN3,0,2,0,-0.00112,al,182mm,1.6mm
65,Rod3,endN3,0,2,1,-0.00129,al,182mm,1.6mm
66,Rod3,endN3,0,2,2,-0.00079,al,182mm,1.6mm
67,Rod3,endN3,0,2,3,-0.00063,al,182mm,1.6mm
68,Rod3,endN3,0,2,4,-0.00014,al,182mm,1.6mm
69,Rod3,endN3,0,2,5,-0.00014,al,182mm,1.6mm
