Material,B (T),d (mm),L_min (cm),L_min < 30 cm?
316L SS (χ≈2),0.5,1,0.008,Yes
316L SS (χ≈2),0.5,3,0.001,Yes
316L SS (χ≈2),0.5,5,0.0,Yes
316L SS (χ≈2),0.5,10,0.0,Yes
316L SS (χ≈2),3.0,1,0.0,Yes
316L SS (χ≈2),3.0,3,0.0,Yes
316L SS (χ≈2),3.0,5,0.0,Yes
316L SS (χ≈2),3.0,10,0.0,Yes
Ferromag. ref (χ≈112),0.5,1,0.0,Yes
Ferromag. ref (χ≈112),0.5,3,0.0,Yes
Ferromag. ref (χ≈112),0.5,5,0.0,Yes
Ferromag. ref (χ≈112),0.5,10,0.0,Yes
Ferromag. ref (χ≈112),3.0,1,0.0,Yes
Ferromag. ref (χ≈112),3.0,3,0.0,Yes
Ferromag. ref (χ≈112),3.0,5,0.0,Yes
Ferromag. ref (χ≈112),3.0,10,0.0,Yes
