N,Position,Current,Magnetic Field Intensity at PositionNm0.5mm,Magnetic Field Intensity at PositionNm0.5mm,Magnetic Field Intensity at PositionNm0.5mm,Magnetic Field Intensity at PositionNm0.5mm,Magnetic Field Intensity at PositionNm0.5mm,Magnetic Field Intensity at PositionNm0.5mm,Magnetic Field Intensity at PositionNm0.5mm,Magnetic Field Intensity at PositionNm0.5mm,Magnetic Field Intensity at PositionNm0.5mm,Magnetic Field Intensity at PositionN,Magnetic Field Intensity at PositionN,Magnetic Field Intensity at PositionN,Magnetic Field Intensity at PositionN,Magnetic Field Intensity at PositionN,Magnetic Field Intensity at PositionN,Magnetic Field Intensity at PositionN,Magnetic Field Intensity at PositionN,Magnetic Field Intensity at PositionN,Magnetic Field Intensity at PositionNp0.5mm,Magnetic Field Intensity at PositionNp0.5mm,Magnetic Field Intensity at PositionNp0.5mm,Magnetic Field Intensity at PositionNp0.5mm,Magnetic Field Intensity at PositionNp0.5mm,Magnetic Field Intensity at PositionNp0.5mm,Magnetic Field Intensity at PositionNp0.5mm,Magnetic Field Intensity at PositionNp0.5mm,Magnetic Field Intensity at PositionNp0.5mm,MF-0.5mm Avg,MagField  Avg,MF+0.5mm Avg,Gradient,Angular position,L is in mm,955
,x [mm] +- 0.05 mm,I [A] +- 0.001A,B [Gauss]                                                               m 1,m 2,m 3,m 4,m 5,m 6,m 7,m 8,m 9,B0 [Gauss]                                           m 1,m 2,m 3,m 4,m 5,m 6,m 7,m 8,m 9,B [Gauss]                                                               m 1,m 2,m 3,m 4,m 5,m 6,m 7,m 8,m 9,B [Gauss],B0 [Gauss],B [Gauss],dB/dx,theta,Tan(theta),B0*(dB/dx)
1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.9,1,1,0.8,0.8,0.8,0.8,0.8,1,0.9,0.9,1,1.1,0.9,1,0.8,1,NaN,NaN,NaN,,,,
2,1,0.554,2.9,2.8,2.9,2.9,2.8,2.7,2.9,2.8,3,2.8,2.6,2.7,2.9,2.7,2.9,3,2.8,2.9,2.8,2.9,3,2.8,2.9,2.8,2.9,2.8,2.7,2.855555556,2.811111111,2.844444444,0.111111111,0.001047121,0.001047121,0.312345679
3,2,1.221,5.6,5.5,5.7,5.6,5.4,5.5,5.6,5.5,5.6,5.6,5.7,5.6,5.7,5.7,5.6,5.7,5.6,5.7,5.7,5.8,5.6,5.8,5.7,5.6,5.7,5.6,5.8,5.555555556,5.655555556,5.7,1.444444444,0.002094242,0.002094245,8.169135802
4,3,1.636,7,7.1,7,6.9,7.1,7.1,7,7.1,7,7.2,7.3,7.2,7.3,7.2,7.2,7.3,7.2,7.1,7.2,7.3,7.2,7.2,7.4,7.3,7.1,7.2,7.3,7.033333333,7.222222222,7.244444444,2.111111111,0.003141366,0.003141377,15.24691358
5,4,2.217,9.3,9.2,9.4,9.3,9.2,9.4,9.3,9.5,9.3,9.4,9.5,9.5,9.4,9.6,9.3,9.4,9.5,9.4,9.4,9.5,9.4,9.5,9.5,9.3,9.4,9.6,9.4,9.322222222,9.444444444,9.444444444,1.222222222,0.004188494,0.004188518,11.54320988
6,5,2.471,10.3,10.4,10.4,10.3,10.4,10.2,10.1,10.2,10.1,10.3,10.4,10.3,10.4,10.5,10.5,10.4,10.5,10.3,10.5,10.5,10.6,10.5,10.5,10.6,10.7,10.5,10.6,10.26666667,10.4,10.55555556,2.888888889,0.005235626,0.005235674,30.04444444
7,6,2.752,11.7,11.6,11.7,11.6,11.6,11.7,11.6,11.5,11.5,11.7,11.7,11.8,11.6,11.7,11.6,11.7,11.5,11.6,11.7,11.8,11.9,11.8,11.7,11.8,12,11.7,11.8,11.61111111,11.65555556,11.8,1.888888889,0.006282764,0.006282847,22.01604938
8,7,2.966,12.6,12.7,12.6,12.5,12.5,12.6,12.4,12.6,12.7,12.8,12.7,12.7,12.6,12.6,12.5,12.5,12.6,12.7,12.7,12.8,12.8,12.7,12.8,12.7,12.8,12.7,12.8,12.57777778,12.63333333,12.75555556,1.777777778,0.007329909,0.00733004,22.45925926
9,8,3.196,14,13.9,13.9,14.1,14,13.9,13.8,13.9,13.8,14,13.9,14.1,14,14.1,13.9,14,14.2,14,14.2,14.3,14.2,14.3,14.3,14.4,14.2,14.4,14.1,13.92222222,14.02222222,14.26666667,3.444444444,0.008377061,0.008377257,48.29876543
10,9,3.507,15.5,15.6,15.5,15.6,15.6,15.5,15.5,15.4,15.5,15.6,15.7,15.6,15.7,15.8,15.8,15.7,15.6,15.7,16,15.9,15.8,16,15.8,15.9,16,15.8,15.8,15.52222222,15.68888889,15.88888889,3.666666667,0.009424223,0.009424502,57.52592593
11,10,3.775,17,17,17.1,16.9,17.1,17,17.1,16.9,17,17.2,17.4,17.3,17.4,17.3,17.3,17.2,17.3,17.1,17.4,17.3,17.4,17.3,17.2,17.3,17.4,17.3,17.2,17.01111111,17.27777778,17.31111111,3,0.010471396,0.010471778,51.83333333
12,11,3.921,18.1,18,18.1,18.2,17.9,18,18,17.9,18.1,18.1,18.2,18.2,18.1,18.2,18.2,18,18.2,18.3,18.4,18.3,18.2,18.3,18.4,18.2,18.4,18.4,18.3,18.03333333,18.16666667,18.32222222,2.888888889,0.011518579,0.011519089,52.48148148
