z_pos	x_pos	y_pos	time	flux	err_byte	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9
30.0	0	0	1.0	119.2	21.876				
30.3	0	0	1.25	119.2	22.127				
30.6	0	0	1.5	119.2	22.377				
30.9	0	0	1.75	119.2	22.628				
31.2	0	0	2.0	119.2	22.878				
31.5	0	0	2.25	119.2	23.129				
31.8	0	0	2.5	119.2	23.379				
32.1	0	0	2.75	119.2	23.63				
32.4	0	0	3.0	119.2	23.879				
32.7	0	0	3.25	119.3	24.129				
33.0	0	0	3.5	119.3	24.378				
33.3	0	0	3.75	119.3	24.627				
33.6	0	0	4.0	119.2	24.877				
33.9	0	0	4.25	119.2	25.127				
34.2	0	0	4.5	119.3	25.376				
34.5	0	0	4.75	119.3	25.625				
34.8	0	0	5.0	119.3	25.876				
35.1	0	0	5.25	120.1	26.126				
35.4	0	0	5.5	120.1	26.375				
35.7	0	0	5.75	120.7	26.625				
36.0	0	0	6.0	120.4	26.876				
36.3	0	0	6.25	121.5	27.125				
36.6	0	0	6.5	122.1	27.374				
36.9	0	0	6.75	122.1	27.624				
37.2	0	0	7.0	122.1	27.875				
37.5	0	0	7.25	123.0	28.125				
37.8	0	0	7.5	123.6	28.374				
38.1	0	0	7.75	123.6	28.624				
38.4	0	0	8.0	123.6	28.875				
38.7	0	0	8.25	125.0	29.125				
39.0	0	0	8.5	125.0	29.374				
39.3	0	0	8.75	125.6	29.624				
39.6	0	0	9.0	125.3	29.874				
39.9	0	0	9.25	126.2	30.123				
40.2	0	0	9.5	126.6	30.372				
40.5	0	0	9.75	126.6	30.623				
40.8	0	0	10.0	126.6	30.872				
41.1	0	0	10.25	127.3	31.123				
41.4	0	0	10.5	127.8	31.373				
41.7	0	0	10.75	127.8	31.622				
42.0	0	0	11.0	127.8	31.872				
42.3	0	0	11.25	129.5	32.123				
42.6	0	0	11.5	129.5	32.373				
42.9	0	0	11.75	130.0	32.624				
43.2	0	0	12.0	129.7	32.874				
43.5	0	0	12.25	130.3	33.124				
43.8	0	0	12.5	130.3	33.374				
44.1	0	0	12.75	131.0	33.624				
44.4	0	0	13.0	130.8	33.873				
44.7	0	0	13.25	131.6	34.123				
45.0	0	0	13.5	132.3	34.371				
45.3	0	0	13.75	132.3	34.62				
45.6	0	0	14.0	132.2	34.87				
45.9	0	0	14.25	133.5	35.12				
46.2	0	0	14.5	133.5	35.37				
46.5	0	0	14.75	134.1	35.619				
46.8	0	0	15.0	133.8	35.869				
47.1	0	0	15.25	134.4	36.119				
47.4	0	0	15.5	134.4	36.369				
47.7	0	0	15.75	135.1	36.618				
48.0	0	0	16.0	134.8	36.867				
48.3	0	0	16.25	135.6	37.119				
48.6	0	0	16.5	136.7	37.37				
48.9	0	0	16.75	136.7	37.62				
49.2	0	0	17.0	136.6	37.87				
49.5	0	0	17.25	138.0	38.12				
49.8	0	0	17.5	138.0	38.369				
50.1	0	0	17.75	138.7	38.619				
50.4	0	0	18.0	138.3	38.869				
50.7	0	0	18.25	139.2	39.119				
51.0	0	0	18.5	139.2	39.369				
51.3	0	0	18.75	139.8	39.619				
51.6	0	0	19.0	139.7	39.87				
51.9	0	0	19.25	140.6	40.121				
52.2	0	0	19.5	141.2	40.371				
52.5	0	0	19.75	141.2	40.621				
52.8	0	0	20.0	141.2	40.871				
53.1	0	0	20.25	142.0	41.121				
53.4	0	0	20.5	142.4	41.373				
53.7	0	0	20.75	143.4	41.623				
54.0	0	0	21.0	142.8	41.871				
54.3	0	0	21.25	144.1	42.121				
54.6	0	0	21.5	144.1	42.371				
54.9	0	0	21.75	144.7	42.62				
55.2	0	0	22.0	144.6	42.869				
55.5	0	0	22.25	145.5	43.12				
55.8	0	0	22.5	146.1	43.37				
56.1	0	0	22.75	146.1	43.62				
56.4	0	0	23.0	146.1	43.87				
56.7	0	0	23.25	146.9	44.12				
57.0	0	0	23.5	148.0	44.37				
57.3	0	0	23.75	148.5	44.62				
57.6	0	0	24.0	147.9	44.871				
57.9	0	0	24.25	149.2	45.122				
58.2	0	0	24.5	149.2	45.371				
58.5	0	0	24.75	149.7	45.621				
58.8	0	0	25.0	149.4	45.871				
59.1	0	0	25.25	150.4	46.121				
59.4	0	0	25.5	151.0	46.372				
59.7	0	0	25.75	151.0	46.621				
60.0	0	0	26.0	151.1	46.87				
60.3	0	0	26.25	152.0	47.119				
60.6	0	0	26.5	152.8	47.369				
60.9	0	0	26.75	153.3	47.62				
61.2	0	0	27.0	152.8	47.869				
61.5	0	0	27.25	154.0	48.12				
61.8	0	0	27.5	154.0	48.368				
62.1	0	0	27.75	154.7	48.618				
62.4	0	0	28.0	154.3	48.869				
62.7	0	0	28.25	155.2	49.119				
63.0	0	0	28.5	155.9	49.37				
63.3	0	0	28.75	155.9	49.62				
63.6	0	0	29.0	155.9	49.872				
63.9	0	0	29.25	156.7	50.121				
