z_pos	x_pos	y_pos	time	flux	err_byte	Unnamed: 6	Unnamed: 7	Unnamed: 8
75.0	0	0	1.0	149.0	1.705	*		
75.3	0	0	1.25	149.0	1.885			
75.6	0	0	1.375	149.0	2.071			
75.9	0	0	1.5	149.0	2.206			
76.2	0	0	1.625	149.0	2.342			
76.5	0	0	1.75	149.0	2.449			
76.8	0	0	1.875	150.4	2.582			
77.1	0	0	2.0	149.4	2.694			
77.4	0	0	2.25	150.9	2.821			
77.7	0	0	2.375	150.9	3.069			
78.0	0	0	2.5	150.9	3.205			
78.3	0	0	2.625	150.9	3.322			
78.6	0	0	2.75	149.3	3.445			
78.9	0	0	2.875	149.3	3.573			
79.2	0	0	3.0	150.2	3.697			
79.5	0	0	3.25	148.6	3.84			
79.8	0	0	3.375	148.6	4.069			
80.1	0	0	3.5	148.6	4.194			
80.4	0	0	3.625	147.6	4.325			
80.7	0	0	3.75	147.6	4.45			
81.0	0	0	3.875	147.6	4.58			
81.3	0	0	4.0	147.9	4.686			
81.6	0	0	4.25	147.3	4.821			
81.9	0	0	4.375	147.3	5.07			
82.2	0	0	4.5	147.8	5.201			
82.5	0	0	4.625	147.8	5.334			
82.8	0	0	4.75	147.8	5.431			
83.1	0	0	4.875	149.1	5.57			
83.4	0	0	5.0	148.0	5.696			
83.7	0	0	5.25	149.1	5.825			
84.0	0	0	5.375	149.2	6.058			
84.3	0	0	5.5	149.2	6.193			
84.6	0	0	5.625	149.2	6.331			
84.9	0	0	5.75	148.4	6.442			
85.2	0	0	5.875	148.4	6.576			
85.5	0	0	6.0	148.8	6.704			
85.8	0	0	6.25	147.9	6.814			
86.1	0	0	6.375	147.9	7.066			
86.4	0	0	6.5	147.9	7.199			
86.7	0	0	6.625	148.1	7.324			
87.0	0	0	6.75	148.1	7.43			
87.3	0	0	6.875	148.1	7.565			
87.6	0	0	7.0	148.1	7.693			
87.9	0	0	7.25	148.9	7.827			
88.2	0	0	7.375	148.9	8.08			
88.5	0	0	7.5	148.2	8.188			
88.8	0	0	7.625	148.2	8.314			
89.1	0	0	7.75	148.2	8.441			
89.4	0	0	7.875	147.7	8.572			
89.7	0	0	8.0	148.2	8.716			
90.0	0	0	8.25	147.7	8.849			
90.3	0	0	8.375	147.0	9.06			
90.6	0	0	8.5	147.0	9.195			
90.9	0	0	8.625	147.0	9.326			
91.2	0	0	8.75	147.9	9.447			
91.5	0	0	8.875	147.9	9.564			
91.8	0	0	9.0	147.4	9.691			
92.1	0	0	9.25	146.2	9.822			
92.4	0	0	9.375	146.2	10.074			
92.7	0	0	9.5	146.2	10.205			
93.0	0	0	9.625	145.9	10.317			
93.3	0	0	9.75	145.9	10.431			
93.6	0	0	9.875	145.9	10.576			
93.9	0	0	10.0	146.0	10.697			
94.2	0	0	10.25	147.0	10.831			
94.5	0	0	10.375	147.0	11.06			
94.8	0	0	10.5	147.0	11.192			
95.1	0	0	10.625	147.0	11.326			
95.4	0	0	10.75	147.0	11.444			
95.7	0	0	10.875	147.0	11.578			
96.0	0	0	11.0	146.8	11.701			
96.3	0	0	11.25	146.1	11.82			
96.6	0	0	11.375	145.4	12.076			
96.9	0	0	11.5	145.4	12.199			
97.2	0	0	11.625	145.4	12.315			
97.5	0	0	11.75	145.4	12.435			
97.8	0	0	11.875	144.7	12.564			
98.1	0	0	12.0	145.3	12.699			
98.4	0	0	12.25	144.5	12.831			
98.7	0	0	12.375	144.5	13.055			
99.0	0	0	12.5	144.5	13.193			
99.3	0	0	12.625	144.3	13.329			
99.6	0	0	12.75	144.3	13.445			
99.9	0	0	12.875	144.3	13.575			
100.2	0	0	13.0	144.3	13.686			
100.5	0	0	13.25	143.7	13.821			
100.8	0	0	13.375	143.7	14.091			
101.1	0	0	13.5	144.9	14.198			
101.4	0	0	13.625	144.9	14.329			
101.7	0	0	13.75	144.9	14.441			
102.0	0	0	13.875	144.9	14.565			
102.3	0	0	14.0	144.5	14.698			
102.6	0	0	14.25	144.8	14.822			
102.9	0	0	14.375	146.1	15.085			
103.2	0	0	14.5	146.1	15.196			
103.5	0	0	14.625	146.1	15.323			
103.8	0	0	14.75	146.1	15.445			
104.1	0	0	14.875	146.0	15.595			
104.4	0	0	15.0	145.8	15.705			
104.7	0	0	15.25	145.8	15.813			
